run,tick,timestamp_ms,symbol_family,maturation_state,moment_state,binding_state,inner_state,contact_state,action,outcome_event,sight_state,hearing_state,feeling_state,reward,event_reward,maturation_reward_sum,timeline_sentence,passive_only
156,1,1767600300000000,dio_1u7v,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,1.0,1.0,3.0,dio_1u7v: run=156 tick=1; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
156,6,1767601800000000,dio_0arw,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_teilform,hoeren_leise,fuehlen_offen,1.0,1.0,3.0,dio_0arw: run=156 tick=6; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
156,11,1767603300000000,dio_14xc,maturation_quiet_observation,moment_quiet_held,multisensory_quiet_hold,inner_consequence_quiet,held_impulse_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_14xc: run=156 tick=11; moment_quiet_held; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_hold; Aktion=WAIT; reward=0.000000.,1
156,12,1767603600000000,dio_1vpi,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,1.0,1.0,3.0,dio_1vpi: run=156 tick=12; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
156,17,1767605100000000,dio_02qu,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,1.0,1.0,3.0,dio_02qu: run=156 tick=17; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
157,1,1767600300000000,dio_1u7v,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,1.0,1.0,3.0,dio_1u7v: run=157 tick=1; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
157,6,1767601800000000,dio_0arw,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_teilform,hoeren_leise,fuehlen_offen,1.0,1.0,3.0,dio_0arw: run=157 tick=6; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
157,11,1767603300000000,dio_14xc,maturation_quiet_observation,moment_quiet_held,multisensory_quiet_hold,inner_consequence_quiet,held_impulse_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_14xc: run=157 tick=11; moment_quiet_held; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_hold; Aktion=WAIT; reward=0.000000.,1
157,12,1767603600000000,dio_1vpi,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,1.0,1.0,3.0,dio_1vpi: run=157 tick=12; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
157,17,1767605100000000,dio_02qu,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,1.0,1.0,3.0,dio_02qu: run=157 tick=17; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
158,1,1767600300000000,dio_1u7v,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,1.0,1.0,3.0,dio_1u7v: run=158 tick=1; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
