binding_state,count,reward_sum,best_reward_sum,avg_reward,families
observed_not_bound,43,0.0,24.373861,0.0,"dio_05s4,dio_07rf,dio_0avw,dio_0c6o,dio_0hd3,dio_0izw,dio_0jco,dio_0u1i,dio_12jm,dio_14jl,dio_15ms,dio_199c,dio_1g18,dio_1guc,dio_1k8m,dio_1uv4,dio_1vp3,dio_1wie"
executed_aligned,5,6.009556,6.009556,1.201911,"dio_0c6o,dio_0hd3,dio_1wie"
held_useful_impulse,2,0.0,1.530746,0.0,"dio_0jco,dio_1g18"
quiet,2,0.0,0.0,0.0,dio_13zu
