development_state,family_count,row_count,reward_sum,event_reward_sum,families,maturation_states
development_stable_carried,3,5,5.0,5.0,"dio_0ofo,dio_0ps1,dio_1k7y",maturation_stable_carried
development_observation_to_carried,2,5,2.0,2.0,"dio_1c6b,dio_1d1z",maturation_mixed_recurrence
development_quiet_observation,9,11,0.0,0.0,"dio_0120,dio_01vz,dio_040y,dio_10dk,dio_143d,dio_14xc,dio_1f9y,dio_1m4n,dio_1mym",maturation_quiet_observation
development_negative_open,1,1,-1.0,-1.0,dio_1d3r,maturation_negative_open
