symbol_family,development_state,maturation_state,count,runs,first_moment_state,last_moment_state,moment_path,binding_path,action_path,distinct_moment_count,reward_sum,event_reward_sum,development_sentence,passive_only
dio_0ofo,development_stable_carried,maturation_stable_carried,1,161,moment_carried,moment_carried,moment_carried,multisensory_carried_contact,LONG,1,1.0,1.0,dio_0ofo: stabil getragen; Pfad=moment_carried; Aktionen=LONG; reward_sum=1.000000.,1
dio_0ps1,development_stable_carried,maturation_stable_carried,1,160,moment_carried,moment_carried,moment_carried,multisensory_carried_contact,LONG,1,1.0,1.0,dio_0ps1: stabil getragen; Pfad=moment_carried; Aktionen=LONG; reward_sum=1.000000.,1
dio_1k7y,development_stable_carried,maturation_stable_carried,3,"159,160,161",moment_carried,moment_carried,moment_carried -> moment_carried -> moment_carried,multisensory_carried_contact -> multisensory_carried_contact -> multisensory_carried_contact,LONG -> LONG -> LONG,1,3.0,3.0,dio_1k7y: stabil getragen; Pfad=moment_carried -> moment_carried -> moment_carried; Aktionen=LONG -> LONG -> LONG; reward_sum=3.000000.,1
dio_1c6b,development_observation_to_carried,maturation_mixed_recurrence,3,"159,160,161",moment_quiet_observed,moment_carried,moment_quiet_observed -> moment_quiet_observed -> moment_carried,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_carried_contact,WAIT -> WAIT -> SHORT,2,1.0,1.0,dio_1c6b: Entwicklung von Beobachtung/Halten zu getragenem Kontakt; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_carried; Aktionen=WAIT -> WAIT -> SHORT; reward_sum=1.000000.,1
dio_1d1z,development_observation_to_carried,maturation_mixed_recurrence,2,"159,160",moment_quiet_observed,moment_carried,moment_quiet_observed -> moment_carried,multisensory_quiet_observation -> multisensory_carried_contact,WAIT -> SHORT,2,1.0,1.0,dio_1d1z: Entwicklung von Beobachtung/Halten zu getragenem Kontakt; Pfad=moment_quiet_observed -> moment_carried; Aktionen=WAIT -> SHORT; reward_sum=1.000000.,1
dio_0120,development_quiet_observation,maturation_quiet_observation,1,160,moment_quiet_held,moment_quiet_held,moment_quiet_held,multisensory_quiet_hold,WAIT,1,0.0,0.0,dio_0120: ruhig beobachtet/gehalten; Pfad=moment_quiet_held; Aktionen=WAIT.,1
dio_01vz,development_quiet_observation,maturation_quiet_observation,2,"159,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,1,0.0,0.0,dio_01vz: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT.,1
dio_040y,development_quiet_observation,maturation_quiet_observation,1,159,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,1,0.0,0.0,dio_040y: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed; Aktionen=WAIT.,1
dio_10dk,development_quiet_observation,maturation_quiet_observation,1,159,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,1,0.0,0.0,dio_10dk: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed; Aktionen=WAIT.,1
dio_143d,development_quiet_observation,maturation_quiet_observation,1,159,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,1,0.0,0.0,dio_143d: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed; Aktionen=WAIT.,1
dio_14xc,development_quiet_observation,maturation_quiet_observation,1,161,moment_quiet_held,moment_quiet_held,moment_quiet_held,multisensory_quiet_hold,WAIT,1,0.0,0.0,dio_14xc: ruhig beobachtet/gehalten; Pfad=moment_quiet_held; Aktionen=WAIT.,1
dio_1f9y,development_quiet_observation,maturation_quiet_observation,1,159,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,1,0.0,0.0,dio_1f9y: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed; Aktionen=WAIT.,1
dio_1m4n,development_quiet_observation,maturation_quiet_observation,2,"159,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,1,0.0,0.0,dio_1m4n: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT.,1
dio_1mym,development_quiet_observation,maturation_quiet_observation,1,160,moment_quiet_held,moment_quiet_held,moment_quiet_held,multisensory_quiet_hold,WAIT,1,0.0,0.0,dio_1mym: ruhig beobachtet/gehalten; Pfad=moment_quiet_held; Aktionen=WAIT.,1
dio_1d3r,development_negative_open,maturation_negative_open,1,159,moment_open,moment_open,moment_open,multisensory_burdened_memory,LONG,1,-1.0,-1.0,dio_1d3r: negative offene Entwicklung; Pfad=moment_open; reward_sum=-1.000000.,1
