action,driver,count,reward_sum,avg_reward,positive_count,negative_count
SHORT,memory_bias,2,2.110077,1.055038,2,0
WAIT,wait_regulation,2,0.0,0.0,0,0
LONG,memory_bias,1,1.264211,1.264211,1,0
WAIT,episode_binding_hold,1,0.0,0.0,0,0
