family_relation,probe25_family,probe26_family,episode_count,same_family_count,same_action_count,same_action_rate,avg_sense_abs_delta_sum,max_sense_abs_delta_sum,semantic_state,passive_role,action_transitions,avg_sehen_form_stability_delta,avg_hoeren_energy_tone_delta,avg_fuehlen_mcm_coherence_delta,avg_fuehlen_mcm_tension_delta,avg_reflection_context_alignment_delta,avg_reflection_context_carry_delta,avg_reflection_context_strain_delta,avg_observation_learning_pressure_delta,avg_observation_trade_readiness_delta,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate
dio_04kx -> dio_0ic5,dio_04kx,dio_0ic5,2,0,0,0.0,0.0367685,0.037449,signaturvariante_gleicher_sinnnaehe,richtungskonflikt_als_beobachtung,LONG->SHORT:2,0.0,0.009534,0.002669,-0.01686,0.00135,0.0006495,-0.001628,-0.003315,0.000763,1,0,0,0,0
dio_05k3 -> dio_05k3,dio_05k3,dio_05k3,2,2,2,1.0,0.007694,0.007712,wiedererkennung_stabil,stabiler_form_feld_kern,LONG->LONG:2,0.0,0.001946,-0.000545,-0.002706,0.0004265,-0.0001915,-0.0001895,-0.001678,-1.15e-05,1,0,0,0,0
dio_067m -> dio_17ao,dio_067m,dio_17ao,2,0,2,1.0,0.1316195,0.131711,neues_praebewusstes_muster,ferne_verwandtschaft_mit_gleicher_richtung,LONG->LONG:2,0.0,-0.061913,0.017336,-0.03601,-0.0011075,0.00323,-0.0038465,0.008121,5.55e-05,1,0,0,0,0
dio_0fvj -> dio_1tsz,dio_0fvj,dio_1tsz,2,0,2,1.0,0.0060485,0.006052,feine_signaturverschiebung,verwandte_signatur_mit_gleicher_richtung,LONG->LONG:2,0.0,-0.001069,0.0003,-0.003443,0.0002855,0.000123,-0.0003265,-0.000498,-3.5e-06,1,0,0,0,0
dio_0qym -> dio_1r1g,dio_0qym,dio_1r1g,2,0,2,1.0,0.038951,0.03901,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,LONG->LONG:2,0.0,0.018966,0.00531,0.006034,-0.001985,0.000502,0.00041,0.005705,3.9e-05,1,0,0,0,0
dio_0x52 -> dio_1rv1,dio_0x52,dio_1rv1,2,0,2,1.0,0.014408,0.014423,feine_signaturverschiebung,verwandte_signatur_mit_gleicher_richtung,SHORT->SHORT:2,0.0,-0.00972,0.002722,2.1e-05,-0.0004015,0.000201,-4.45e-05,0.001289,9e-06,1,0,0,0,0
dio_1215 -> dio_1t1w,dio_1215,dio_1t1w,2,0,2,1.0,0.0780525,0.078064,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,LONG->LONG:2,0.0,-0.029901,0.008372,-0.03184,0.001683,0.0016,-0.003116,-0.00153,-1.05e-05,1,0,0,0,0
dio_15gs -> dio_14c1,dio_15gs,dio_14c1,2,0,2,1.0,0.0879895,0.088005,neues_praebewusstes_muster,ferne_verwandtschaft_mit_gleicher_richtung,SHORT->SHORT:2,0.0,-0.046128,0.012916,-0.022299,3.6e-05,0.0016865,-0.002304,0.002602,1.8e-05,1,0,0,0,0
dio_19mp -> dio_19mp,dio_19mp,dio_19mp,2,2,2,1.0,0.031705,0.031719,wiedererkennung_stabil,stabiler_form_feld_kern,SHORT->SHORT:2,0.0,0.003413,0.000956,-0.021044,0.001416,0.0008845,-0.00202,-0.001958,-1.35e-05,1,0,0,0,0
dio_1aqj -> dio_1jba,dio_1aqj,dio_1jba,2,0,2,1.0,0.01993,0.019971,feine_signaturverschiebung,verwandte_signatur_mit_gleicher_richtung,LONG->LONG:2,0.0,0.006629,-0.001856,0.005352,-0.0014145,0.000238,0.00041,0.004003,2.75e-05,1,0,0,0,0
dio_1bwy -> dio_0s84,dio_1bwy,dio_0s84,2,0,2,1.0,0.0333805,0.033442,signaturvariante_gleicher_sinnnaehe,verwandte_signatur_mit_gleicher_richtung,SHORT->SHORT:2,0.0,-0.010834,-0.003033,-0.010188,0.002217,-0.000289,-0.0008175,-0.005961,-4.1e-05,1,0,0,0,0
dio_1ekt -> dio_1ekt,dio_1ekt,dio_1ekt,2,2,2,1.0,0.040346,0.040399,wiedererkennung_stabil,stabiler_form_feld_kern,LONG->LONG:2,0.0,0.016902,0.004732,0.010636,-0.0019625,0.000155,0.0008855,0.005038,3.5e-05,1,0,0,0,0
dio_1hs5 -> dio_1hs5,dio_1hs5,dio_1hs5,2,2,2,1.0,0.0097025,0.009707,wiedererkennung_stabil,stabiler_form_feld_kern,LONG->LONG:2,0.0,-0.004762,0.001333,-0.002545,0.0002445,8.35e-05,-0.000239,-0.000492,-3.5e-06,1,0,0,0,0
