semantic_state,family_relation_count,episodes,same_action_rate,weighted_avg_sense_abs_delta_sum
feine_signaturverschiebung,4,8,1.0,0.0143015
neues_praebewusstes_muster,2,4,1.0,0.1098045
signaturvariante_gleicher_sinnnaehe,7,14,0.857143,0.042419214
wiedererkennung_stabil,5,10,1.0,0.0219898
