tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,best_action_training,reward,best_reward_training,better_entry_training,score_wait,score_long,score_short,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767225900000000,dio_0byw31d,dio_0byw,LONG,LONG,0,1.000000,LONG,1.976038,1.976038,99.58000000,0.025532,0.726340,-0.032959,-0.061074,1.000000,-0.122149,0.015762,0.080000,0.995587,0.051815,-0.047517
6,1767227400000000,dio_11wpk4g,dio_11wp,WAIT,WAIT,0,0.341572,WAIT,0.000000,0.000000,102.44000000,0.053545,-0.030628,-0.035198,1.000000,1.000000,0.106907,0.220106,0.012531,0.938370,0.529550,0.588164
7,1767227700000000,dio_0lt61yq,dio_0lt6,WAIT,SHORT,1,0.319328,SHORT,0.000000,0.710163,102.86000000,0.048994,-0.030932,0.126266,1.000000,1.000000,-0.433442,0.013669,-0.191011,0.996173,0.495092,0.417772
8,1767228000000000,dio_0zlrs2n,dio_0zlr,SHORT,SHORT,0,0.637708,SHORT,1.118086,1.118086,103.18000000,0.049809,-0.033824,0.311969,0.980651,0.000000,-0.996453,-0.220185,-0.303688,0.338348,0.663784,0.249279
