binding_state,inner_state,contact_state,action,count,reward_sum,event_reward_sum,avg_reward,families,sight_states,hearing_states,feeling_states
multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,1,1.0,1.0,1.0,dio_0cgn,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig
multisensory_conflicted_burden,inner_consequence_conflicted,real_contact_burdened,LONG,3,-3.0,-3.0,-1.0,dio_1k0r,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen
multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,34,0.0,0.0,0.0,"dio_04zi,dio_06bd,dio_0cgn,dio_0fa9,dio_0ojr,dio_0rb2,dio_0ui9,dio_0vc8,dio_1g7l,dio_1jo7,dio_1q9b,dio_1qig,dio_1t73,dio_1w4m","sehen_bewegte_form,sehen_geformte_bewegung,sehen_stabile_form,sehen_teilform","hoeren_dunkle_spannung,hoeren_helle_spannung,hoeren_leise,hoeren_mittlere_spannung","fuehlen_hohe_spannung,fuehlen_inkoharent,fuehlen_koharent_gespannt,fuehlen_koharent_ruhig,fuehlen_offen"
