family,run_count,first_run,last_run,executed_runs,observed_runs,held_runs,raw_runs,reward_sum,max_trade_readiness,max_mature_transfer,transition
dio_0a54,4,64,67,2,2,0,2,1.148436,0.158316,0.060958,observation_to_execution
dio_0nm2,4,64,67,1,3,0,1,1.024116,0.083767,0.064916,observation_to_execution
dio_14wi,4,64,67,1,3,0,1,0.899201,0.074575,0.069715,observation_to_execution
dio_0v36,3,64,66,3,0,0,3,3.423192,0.347427,0.065879,persistent_execution
dio_0rps,4,64,67,0,4,0,0,0.0,0.016385,0.016385,stable_observation
dio_0v15,4,64,67,0,4,1,1,0.0,0.055388,0.055388,raw_pressure_held
dio_1alf,4,64,67,0,4,0,0,0.0,0.044806,0.044806,stable_observation
dio_1y2t,4,64,67,0,4,0,0,0.0,0.045463,0.045463,stable_observation
dio_0g8c,3,64,66,0,3,0,0,0.0,0.024789,0.024789,stable_observation
dio_0hiu,3,64,66,0,3,0,0,0.0,0.036812,0.036812,stable_observation
dio_0yok,3,64,66,0,3,0,0,0.0,0.004513,0.004513,stable_observation
dio_1hhw,3,64,66,0,3,0,0,0.0,0.023761,0.023761,stable_observation
dio_1og7,3,64,66,0,3,0,0,0.0,0.045127,0.045127,stable_observation
dio_09n6,2,64,65,0,2,0,0,0.0,0.010778,0.010778,stable_observation
dio_0eh8,2,64,65,0,2,0,0,0.0,0.014668,0.014668,stable_observation
dio_0f9v,2,64,65,0,2,0,0,0.0,0.018434,0.018434,stable_observation
dio_0hzw,2,64,65,0,2,0,0,0.0,0.016671,0.016671,stable_observation
