kind,count,executed,reward_sum,avg_reward,max_reward
positive_executed_contact,7,7,8.791645,1.255949,1.554965
burdened_executed_contact,1,1,-0.249492,-0.249492,-0.249492
observed_potential,27,0,0.0,0.0,0.0
