inner_state,count,event_reward_sum,memory_reward_sum,families,actions
inner_consequence_carried,1,1.0,2.1,dio_0cgn,SHORT
inner_consequence_conflicted,1,-3.0,3.619979,dio_1k0r,LONG
inner_consequence_quiet,14,0.0,0.0,"dio_04zi,dio_06bd,dio_0cgn,dio_0fa9,dio_0ojr,dio_0rb2,dio_0ui9,dio_0vc8,dio_1g7l,dio_1jo7,dio_1q9b,dio_1qig,dio_1t73,dio_1w4m",WAIT
