contact_id,contact_symbol,contact_lage_state,runs,trades_total,reward_total,contact_reward_sum,direct_positive_action,observation_to_positive_action,held_observation,passive_only
kontakt_exakt_probe8_repeat,dio_contact_0w23dz5,exakte_wiederbegegnung,4,12,13.834005,13.834005,3,1,3,1
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,4,4,4.586545,4.586544,0,3,16,1
kontakt_konflikt_probe11,dio_contact_0iicj44,konflikt_wiederbegegnung,4,7,-1.579871,2.146809,1,2,11,1
kontakt_nah_probe9,dio_contact_10xiwzq,nahe_aehnlichkeit,4,13,13.655328,13.65533,3,2,2,1
