contrast_group,symbol_family,trace_carry_state,visible_probe_count,carried_probe_count,kipp_probe_count,carry_ratio,sensory_field_distance,sehen_flow_delta,hoeren_energy_delta,mcm_coherence_delta,mcm_tension_delta,mcm_asymmetry_delta,direction_support_state,left_dominant_best_action,right_dominant_best_action,best_reward_training_delta,trade_readiness_delta,avg_episode_count_delta,avg_trade_readiness_delta,lived_support_drop_count,direction_flip_count,neuro_tone_reorganizes_count,no_visible_kipp_count,left_text_island_symbol,right_text_island_symbol,first_kipp_probe,first_kipp_state,longest_carried_run,longest_kipp_run,dominant_kipp_state,alignment_state,score_delta,temporal_detail_count,avg_best_reward_training_delta,best_reward_softens_count,trade_readiness_softens_count,temporal_state_counts,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
carries_then_kipps_trace,dio_03sc,trace_carries_then_kipps,3,2,1,0.666666667,0.004703954,0.002417,-0.007201,0.002016,-0.00164,-0.00291,same_sensory_field_same_direction_but_reife_kippt,SHORT,SHORT,0.0,-0.002612667,-0.666666667,-0.0039335,1,0,0,2,dio_text_anc9t7,dio_text_anc9t7,probe25,probe_lived_support_drop,2,1,probe_lived_support_drop,same_sensory_field_visible,0.0,3,-0.333333333,0,0,probe_lived_support_drop:1|probe_no_visible_kipp:2,True,False,False,False,False,False,False,False
carries_then_kipps_trace,dio_05ws,trace_carries_then_kipps,6,2,4,0.333333333,0.008237551,0.001172,0.006643,-0.000186,0.001682,0.003421,same_sensory_field_same_direction_but_reife_kippt,LONG,LONG,0.0,-0.033047383,-0.333333333,-0.039870167,1,0,0,2,dio_text_18ku4h1,dio_text_18ku4h1,probe22,probe_trade_readiness_softens,1,3,probe_trade_readiness_softens,same_sensory_field_visible,0.0,6,-0.166666667,0,3,probe_lived_support_drop:1|probe_no_visible_kipp:2|probe_trade_readiness_softens:3,True,False,False,False,False,False,False,False
carries_then_kipps_trace,dio_06b8,trace_carries_then_kipps,6,2,4,0.333333333,0.000630381,0.0008,-0.00183,-0.000512,0.000347,0.000133,same_sensory_field_same_direction_but_reife_kippt,LONG,LONG,0.0,-1.4642e-05,0.0,-1.7125e-05,0,0,0,2,dio_text_1mdfmx0,dio_text_1mdfmx0,probe22,probe_trade_readiness_softens,2,4,probe_trade_readiness_softens,same_sensory_field_visible,0.0,6,0.0,0,4,probe_no_visible_kipp:2|probe_trade_readiness_softens:4,True,False,False,False,False,False,False,False
carries_then_kipps_trace,dio_0dos,trace_carries_then_kipps,3,2,1,0.666666667,0.005740029,-0.013764,0.008501,-0.00238,0.009712,-0.007355,same_sensory_field_same_direction_but_reife_kippt,LONG,LONG,0.0,-0.0051805,-0.666666667,-0.0077985,1,0,0,2,dio_text_1jr7z4y,dio_text_1jr7z4y,probe25,probe_lived_support_drop,2,1,probe_lived_support_drop,same_sensory_field_visible,0.0,3,-0.333333333,0,0,probe_lived_support_drop:1|probe_no_visible_kipp:2,True,False,False,False,False,False,False,False
carries_then_kipps_trace,dio_0eeh,trace_carries_then_kipps,5,3,2,0.6,0.056885122,0.004498,0.005675,-0.001589,0.005398,0.004772,same_sensory_field_same_direction_but_reife_kippt,LONG,LONG,0.0,0.005784145,0.8,0.00734315,0,0,0,3,dio_text_jo4l86,dio_text_jo4l86,probe24,probe_trade_readiness_softens,3,2,probe_trade_readiness_softens,same_sensory_field_visible,0.0,5,0.0,0,2,probe_no_visible_kipp:3|probe_trade_readiness_softens:2,True,False,False,False,False,False,False,False
carries_then_kipps_trace,dio_0qfc,trace_carries_then_kipps,2,1,1,0.5,0.002620045,0.0,0.000352,9.8e-05,-0.000148,-0.001921,same_sensory_field_same_direction_but_reife_kippt,LONG,LONG,0.0,-6.5e-06,0.0,-6.5e-06,0,0,0,1,dio_text_nnvq8,dio_text_nnvq8,probe26,probe_trade_readiness_softens,1,1,probe_trade_readiness_softens,same_sensory_field_visible,0.0,2,0.0,0,1,probe_no_visible_kipp:1|probe_trade_readiness_softens:1,True,False,False,False,False,False,False,False
carries_then_kipps_trace,dio_0t27,trace_carries_then_kipps,2,1,1,0.5,0.00247908,0.005519,0.005134,0.001437,-0.000427,0.002698,direction_support_not_visible_right,WAIT,WAIT,-3.5e-05,-2.5e-06,0.0,-2.5e-06,0,0,0,1,dio_text_1j80ia3,dio_text_1j80ia3,probe26,probe_best_reward_softens,1,1,probe_best_reward_softens,same_sensory_field_visible,0.0,2,-3.5e-05,1,0,probe_best_reward_softens:1|probe_no_visible_kipp:1,True,False,False,False,False,False,False,False
carries_then_kipps_trace,dio_0zq7,trace_carries_then_kipps,4,2,2,0.5,0.006679028,0.00271,0.004011,-0.001123,0.001324,0.004917,same_sensory_field_same_direction_but_reife_kippt,LONG,LONG,0.0,-0.011155,-1.0,-0.015324125,2,0,0,2,dio_text_1th2n0q,dio_text_1th2n0q,probe25,probe_lived_support_drop,2,2,probe_lived_support_drop,same_sensory_field_visible,0.0,4,-0.5,0,0,probe_lived_support_drop:2|probe_no_visible_kipp:2,True,False,False,False,False,False,False,False
carries_then_kipps_trace,dio_16kq,trace_carries_then_kipps,2,1,1,0.5,0.004595148,-0.002873,-0.000585,0.000163,-0.001755,0.002106,same_sensory_field_same_direction_but_reife_kippt,LONG,LONG,0.0,-0.00775225,-1.0,-0.00969,1,0,0,1,dio_text_1qlk2kz,dio_text_1qlk2kz,probe24,probe_lived_support_drop,1,1,probe_lived_support_drop,same_sensory_field_visible,0.0,2,-0.5,0,0,probe_lived_support_drop:1|probe_no_visible_kipp:1,True,False,False,False,False,False,False,False
carries_then_kipps_trace,dio_1f9y,trace_carries_then_kipps,2,1,1,0.5,0.005012858,-0.008417,-0.003541,0.000992,-0.005303,-0.008652,same_sensory_field_same_direction_but_reife_kippt,LONG,LONG,0.0016165,6.85e-05,0.0,6.85e-05,0,0,0,1,dio_text_qxbcil,dio_text_qxbcil,probe24,probe_best_reward_softens,1,1,probe_best_reward_softens,same_sensory_field_visible,0.0,2,0.0016165,1,0,probe_best_reward_softens:1|probe_no_visible_kipp:1,True,False,False,False,False,False,False,False
