contrast_group,family_count,avg_visible_probe_count,avg_carried_probe_count,avg_carry_ratio,avg_sensory_field_distance,avg_mcm_coherence_delta,avg_mcm_tension_delta,avg_mcm_asymmetry_delta,avg_best_reward_training_delta,avg_trade_readiness_delta,avg_lived_support_drop_count,avg_direction_flip_count,avg_neuro_tone_reorganizes_count,avg_no_visible_kipp_count,families,avg_sehen_flow_delta,avg_hoeren_energy_delta,avg_avg_episode_count_delta,avg_avg_trade_readiness_delta,avg_avg_best_reward_training_delta,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
immediate_or_continuous_kipp_trace,123,1.650406504,0.0,0.0,0.007109073,-0.000704008,0.001092,0.000934512,-0.001768506,-0.000491652,0.170731707,0.008130081,0.097560976,0.0,dio_005k|dio_01w7|dio_02rt|dio_0325|dio_05cu|dio_06jl|dio_07lp|dio_07mb|dio_07t9|dio_080e|dio_091t|dio_09ow|dio_0avw|dio_0azl|dio_0b2b|dio_0bde|dio_0cxr|dio_0e02|dio_0ehw|dio_0fsp|dio_0ft4|dio_0g2u|dio_0gmg|dio_0haj|dio_0i4h|dio_0ink|dio_0iou|dio_0irs|dio_0j34|dio_0j8d|dio_0k0f|dio_0ksa|dio_0lrt|dio_0m9e|dio_0ngs|dio_0ni1|dio_0nvd|dio_0o73|dio_0ocp|dio_0omt,0.000615602,0.000189504,-0.069105691,-0.000570367,-0.021307554,True,False,False,False,False,False,False,False
single_probe_carried_trace,79,1.0,1.0,1.0,0.004070923,0.000167342,0.00162962,-6.9278e-05,0.007060937,2.3924e-05,0.0,0.0,0.0,1.0,dio_00r9|dio_010h|dio_0120|dio_015b|dio_01px|dio_01sj|dio_02y8|dio_05e5|dio_065c|dio_06gy|dio_09tm|dio_0a7t|dio_0eq2|dio_0g55|dio_0hlx|dio_0icm|dio_0ipe|dio_0jg9|dio_0jgk|dio_0jp7|dio_0jx1|dio_0kae|dio_0kom|dio_0kw1|dio_0l9d|dio_0lf6|dio_0nki|dio_0nmw|dio_0nrp|dio_0ocv|dio_0qcz|dio_0qjm|dio_0r90|dio_0rt8|dio_0rwa|dio_0sou|dio_0trg|dio_0ux0|dio_0v3a|dio_0vn1,0.000329962,-0.000472873,0.0,2.3924e-05,0.007060937,True,False,False,False,False,False,False,False
multi_probe_carried_trace,17,2.411764706,2.411764706,1.0,0.001973427,0.000214882,0.000850059,0.000796588,0.000855559,1.5559e-05,0.0,0.0,0.0,2.411764706,dio_05xk|dio_09u3|dio_0bm2|dio_0ce4|dio_0e37|dio_0m7s|dio_0u61|dio_0yco|dio_11vr|dio_13a8|dio_16l1|dio_1cdk|dio_1fzx|dio_1jgc|dio_1mym|dio_1ull|dio_1xfl,0.002004588,-0.000312235,0.0,1.5559e-05,0.000855559,True,False,False,False,False,False,False,False
carries_then_kipps_trace,15,3.2,1.466666667,0.473333333,0.008142703,-0.000171133,-0.000455867,9.1533e-05,-0.029183211,-0.004456848,0.6,0.0,0.0,1.466666667,dio_03sc|dio_05ws|dio_06b8|dio_0dos|dio_0eeh|dio_0qfc|dio_0t27|dio_0zq7|dio_16kq|dio_1f9y|dio_1qaq|dio_1qst|dio_1s9i|dio_1si6|dio_1tjm,0.000324667,0.000791,-0.346666667,-0.005869207,-0.189622378,True,False,False,False,False,False,False,False
kipps_then_recarries_trace,9,2.888888889,1.444444444,0.507407407,0.013769585,-0.000457,-0.000262333,-0.005052444,0.039467574,0.0055325,0.111111111,0.0,0.888888889,1.444444444,dio_07mw|dio_0hl8|dio_0ic6|dio_0r8l|dio_12x0|dio_1dl4|dio_1im7|dio_1jba|dio_1pel,-0.005670333,0.000779222,0.637037037,0.007479635,0.25867653,True,False,False,False,False,False,False,False
mixed_or_unclear_trace,4,3.5,2.0,0.5625,0.004385615,-0.0008915,0.0029525,-0.0002925,0.014849166,0.00178275,0.5,0.0,1.0,2.0,dio_005q|dio_1gsg|dio_1p8y|dio_1wgb,-0.00061725,0.00114075,0.125,0.00259001,0.073853562,True,False,False,False,False,False,False,False
