relation_stability_state,relation_count,avg_relation_score,families,passive_only,influences_action
recurring_weak_passive_relation,14,0.19531,dio_0eh8|dio_0g0p|dio_0gtz|dio_0hd3|dio_0qze|dio_0t0v|dio_0u8u|dio_0y8w|dio_1361|dio_14eb|dio_14i8|dio_1ayy|dio_1rv1|dio_1t1w,True,False
recurring_mixed_passive_relation,1,0.485667,dio_0szn,True,False
