symbol_family,dominant_recurrence_context_state,episodes,run_count,context_state_counts,candidate_passive_reife_state,candidate_meaning_preservation_rate,candidate_stable_recurrence_rate,candidate_temporal_fragility,avg_observation_learning_pressure,avg_trade_readiness,avg_reflection_alignment,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate,is_motoric
dio_1ekt,recurrence_context_meaning_near,2,2,recurrence_context_meaning_near:2,sinnnah_variantenfaehig,1.0,0.833333,1.0,0.430306,0.0029585,0.7986555,1,0,0,0,0,0
dio_19mp,recurrence_context_meaning_near,2,2,recurrence_context_meaning_near:2,sinnnah_variantenfaehig,1.0,0.166667,1.0,0.431111,0.002964,0.7943315,1,0,0,0,0,0
dio_1ull,recurrence_context_meaning_near,2,2,recurrence_context_meaning_near:2,sinnnah_variantenfaehig,1.0,0.166667,1.0,0.212676,0.001462,0.8774475,1,0,0,0,0,0
dio_05k3,recurrence_context_meaning_near,2,2,recurrence_context_meaning_near:2,sinnnah_variantenfaehig,0.833333,0.666667,1.0,0.408467,0.002808,0.8001535,1,0,0,0,0,0
dio_1hs5,recurrence_context_meaning_near,2,2,recurrence_context_meaning_near:2,sinnnah_variantenfaehig,0.833333,0.166667,1.0,0.222348,0.0015285,0.8709205,1,0,0,0,0,0
dio_0ic5,recurrence_context_unknown,2,2,recurrence_context_unknown:2,-,0.0,0.0,0.0,0.218907,0.001505,0.8745285,1,0,0,0,0,0
dio_0s84,recurrence_context_unknown,2,2,recurrence_context_unknown:2,-,0.0,0.0,0.0,0.4449,0.0030585,0.7945615,1,0,0,0,0,0
dio_12dn,recurrence_context_unknown,2,2,recurrence_context_unknown:2,-,0.0,0.0,0.0,0.407381,0.0028005,0.806316,1,0,0,0,0,0
dio_14c1,recurrence_context_unknown,2,2,recurrence_context_unknown:2,-,0.0,0.0,0.0,0.321225,0.0022085,0.8307865,1,0,0,0,0,0
dio_17ao,recurrence_context_unknown,2,2,recurrence_context_unknown:2,-,0.0,0.0,0.0,0.63297,0.0043515,0.7210075,1,0,0,0,0,0
dio_1ff0,recurrence_context_unknown,2,2,recurrence_context_unknown:2,-,0.0,0.0,0.0,0.232866,0.001601,0.868585,1,0,0,0,0,0
dio_1jba,recurrence_context_unknown,2,2,recurrence_context_unknown:2,-,0.0,0.0,0.0,0.417723,0.002872,0.7995625,1,0,0,0,0,0
dio_1ldo,recurrence_context_unknown,2,2,recurrence_context_unknown:2,-,0.0,0.0,0.0,0.634482,0.004362,0.725044,1,0,0,0,0,0
dio_1nvu,recurrence_context_unknown,2,2,recurrence_context_unknown:2,-,0.0,0.0,0.0,0.610033,0.004194,0.732817,1,0,0,0,0,0
dio_1r1g,recurrence_context_unknown,2,2,recurrence_context_unknown:2,-,0.0,0.0,0.0,0.333483,0.0022925,0.8262,1,0,0,0,0,0
dio_1rv1,recurrence_context_unknown,2,2,recurrence_context_unknown:2,-,0.0,0.0,0.0,0.540187,0.003714,0.7665715,1,0,0,0,0,0
dio_1t1w,recurrence_context_unknown,2,2,recurrence_context_unknown:2,-,0.0,0.0,0.0,0.577762,0.003972,0.7417155,1,0,0,0,0,0
dio_1tsz,recurrence_context_unknown,2,2,recurrence_context_unknown:2,-,0.0,0.0,0.0,0.62276,0.0042815,0.7305365,1,0,0,0,0,0
