run,tick,symbol_family,recurrence_context_state,timestamp_ms,symbol,action,best_action_training,outcome_event,recurrence_maturity_symbol,candidate_passive_reife_state,candidate_meaning_preservation_rate,candidate_stable_recurrence_rate,candidate_variant_capacity_rate,candidate_temporal_fragility,candidate_conflict_or_new_rate,current_observation_learning_pressure,current_trade_readiness,current_reflection_alignment,current_mcm_coherence,current_mcm_tension,context_note,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate,is_motoric
dio_mini_lauf_1,1,dio_1rv1,recurrence_context_unknown,1767560300000000,dio_1rv13no,WAIT,SHORT,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.540187,0.0,0.76802,0.982959,0.083083,dio_1rv1: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_1,2,dio_1ull,recurrence_context_meaning_near,1767560600000000,dio_1ull2yv,WAIT,SHORT,NO_TRADE,dio_recur_18qky6h,sinnnah_variantenfaehig,1.0,0.166667,0.833333,1.0,0.0,0.212676,0.0,0.878024,-0.233868,0.104622,"dio_1ull: sinnnah_variantenfaehig; Sinn-Erhalt=1.000000; stabile Wiederkehr=0.166667; Zeitfragilitaet=1.000000; passive Kontextlesung, keine Handlung.",1,0,0,0,0,0
dio_mini_lauf_1,3,dio_14c1,recurrence_context_unknown,1767560900000000,dio_14c1zmg,WAIT,SHORT,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.321225,0.0,0.831656,0.097707,0.356234,dio_14c1: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_1,4,dio_05k3,recurrence_context_meaning_near,1767561200000000,dio_05k373k,WAIT,LONG,NO_TRADE,dio_recur_x7exs,sinnnah_variantenfaehig,0.833333,0.666667,0.166667,1.0,0.166667,0.408467,0.0,0.801332,0.289756,0.470591,"dio_05k3: sinnnah_variantenfaehig; Sinn-Erhalt=0.833333; stabile Wiederkehr=0.666667; Zeitfragilitaet=1.000000; passive Kontextlesung, keine Handlung.",1,0,0,0,0,0
dio_mini_lauf_1,5,dio_1tsz,recurrence_context_unknown,1767561500000000,dio_1tszbgb,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.62276,0.0,0.732212,0.992977,0.362566,dio_1tsz: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_1,6,dio_1jba,recurrence_context_unknown,1767561800000000,dio_1jbaunv,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.417723,0.0,0.800684,0.392717,0.344782,dio_1jba: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_1,7,dio_0ic5,recurrence_context_unknown,1767562100000000,dio_0ic5er6,WAIT,SHORT,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.218907,0.0,0.875119,-0.209546,0.128454,dio_0ic5: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_1,8,dio_0s84,recurrence_context_unknown,1767562400000000,dio_0s84lnj,WAIT,SHORT,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.4449,0.0,0.795753,0.395847,0.262513,dio_0s84: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_1,9,dio_19mp,recurrence_context_meaning_near,1767562700000000,dio_19mpp0p,WAIT,SHORT,NO_TRADE,dio_recur_cslksc,sinnnah_variantenfaehig,1.0,0.166667,0.833333,1.0,0.0,0.431111,0.0,0.795486,0.372062,0.376867,"dio_19mp: sinnnah_variantenfaehig; Sinn-Erhalt=1.000000; stabile Wiederkehr=0.166667; Zeitfragilitaet=1.000000; passive Kontextlesung, keine Handlung.",1,0,0,0,0,0
dio_mini_lauf_1,10,dio_1hs5,recurrence_context_meaning_near,1767563000000000,dio_1hs5sz6,WAIT,LONG,NO_TRADE,dio_recur_2rlxa4,sinnnah_variantenfaehig,0.833333,0.166667,0.666667,1.0,0.166667,0.222348,0.0,0.871524,-0.220085,0.194834,"dio_1hs5: sinnnah_variantenfaehig; Sinn-Erhalt=0.833333; stabile Wiederkehr=0.166667; Zeitfragilitaet=1.000000; passive Kontextlesung, keine Handlung.",1,0,0,0,0,0
