run,tick,timestamp_ms,symbol,symbol_family,action,raw_action,outcome_event,reward,event_reward,contact_state,inner_state,memory_trust,memory_caution,memory_trust_minus_caution,memory_action_count,consequence_effect,sehen_form_flow,sehen_form_stability,hoeren_energy_tone,fuehlen_mcm_coherence,fuehlen_mcm_tension,inner_sentence,source_file,passive_only
156,1,1767600300000000,dio_1u7v0v3,dio_1u7v,SHORT,SHORT,TP,1.0,1.0,real_contact_carried,inner_consequence_carried,0.875496,0.0,0.875496,18,tp_trust_visible,0.032622,1.0,0.039728,0.988876,0.040826,"dio_1u7v: DIO sieht eine innen getragene Konsequenzspur; Kontakt=real_contact_carried, Aktion=SHORT, Event=TP, trust=0.875496, caution=0.000000.",debug\dio_mini_pipeline_livecheck_probe18\dio_mini_lauf_156\episodes.csv,1
156,6,1767601800000000,dio_0arws0q,dio_0arw,LONG,LONG,TP,1.0,1.0,real_contact_carried,inner_consequence_carried,1.0,0.0,1.0,17,tp_trust_visible,-0.447325,0.0,-0.00536,0.398499,0.275533,"dio_0arw: DIO sieht eine innen getragene Konsequenzspur; Kontakt=real_contact_carried, Aktion=LONG, Event=TP, trust=1.000000, caution=0.000000.",debug\dio_mini_pipeline_livecheck_probe18\dio_mini_lauf_156\episodes.csv,1
156,11,1767603300000000,dio_14xcnvd,dio_14xc,WAIT,LONG,NO_TRADE,0.0,0.0,held_impulse_without_action,inner_consequence_quiet,0.0,0.0,0.0,25,no_trade_or_observation,0.822477,1.0,0.010545,0.997047,0.377032,dio_14xc: DIO sieht eine ruhige Beobachtungsspur; Kontakt=held_impulse_without_action.,debug\dio_mini_pipeline_livecheck_probe18\dio_mini_lauf_156\episodes.csv,1
156,12,1767603600000000,dio_1vpirj0,dio_1vpi,SHORT,SHORT,TP,1.0,1.0,real_contact_carried,inner_consequence_carried,0.590538,0.083972,0.506566,15,tp_trust_visible,0.742634,1.0,-0.052832,0.985207,0.348372,"dio_1vpi: DIO sieht eine innen getragene Konsequenzspur; Kontakt=real_contact_carried, Aktion=SHORT, Event=TP, trust=0.590538, caution=0.083972.",debug\dio_mini_pipeline_livecheck_probe18\dio_mini_lauf_156\episodes.csv,1
156,17,1767605100000000,dio_02qut94,dio_02qu,LONG,LONG,TP,1.0,1.0,real_contact_carried,inner_consequence_carried,0.490679,0.0,0.490679,9,tp_trust_visible,0.291659,0.0,0.053713,0.38496,0.192154,"dio_02qu: DIO sieht eine innen getragene Konsequenzspur; Kontakt=real_contact_carried, Aktion=LONG, Event=TP, trust=0.490679, caution=0.000000.",debug\dio_mini_pipeline_livecheck_probe18\dio_mini_lauf_156\episodes.csv,1
157,1,1767600300000000,dio_1u7v0v3,dio_1u7v,SHORT,SHORT,TP,1.0,1.0,real_contact_carried,inner_consequence_carried,0.875496,0.0,0.875496,18,tp_trust_visible,0.032622,1.0,0.039728,0.988876,0.040826,"dio_1u7v: DIO sieht eine innen getragene Konsequenzspur; Kontakt=real_contact_carried, Aktion=SHORT, Event=TP, trust=0.875496, caution=0.000000.",debug\dio_mini_pipeline_livecheck_probe18\dio_mini_lauf_157\episodes.csv,1
157,6,1767601800000000,dio_0arws0q,dio_0arw,LONG,LONG,TP,1.0,1.0,real_contact_carried,inner_consequence_carried,1.0,0.0,1.0,17,tp_trust_visible,-0.447325,0.0,-0.00536,0.398499,0.275533,"dio_0arw: DIO sieht eine innen getragene Konsequenzspur; Kontakt=real_contact_carried, Aktion=LONG, Event=TP, trust=1.000000, caution=0.000000.",debug\dio_mini_pipeline_livecheck_probe18\dio_mini_lauf_157\episodes.csv,1
157,11,1767603300000000,dio_14xcnvd,dio_14xc,WAIT,LONG,NO_TRADE,0.0,0.0,held_impulse_without_action,inner_consequence_quiet,0.0,0.0,0.0,25,no_trade_or_observation,0.822477,1.0,0.010545,0.997047,0.377032,dio_14xc: DIO sieht eine ruhige Beobachtungsspur; Kontakt=held_impulse_without_action.,debug\dio_mini_pipeline_livecheck_probe18\dio_mini_lauf_157\episodes.csv,1
157,12,1767603600000000,dio_1vpirj0,dio_1vpi,SHORT,SHORT,TP,1.0,1.0,real_contact_carried,inner_consequence_carried,0.590538,0.083972,0.506566,15,tp_trust_visible,0.742634,1.0,-0.052832,0.985207,0.348372,"dio_1vpi: DIO sieht eine innen getragene Konsequenzspur; Kontakt=real_contact_carried, Aktion=SHORT, Event=TP, trust=0.590538, caution=0.083972.",debug\dio_mini_pipeline_livecheck_probe18\dio_mini_lauf_157\episodes.csv,1
157,17,1767605100000000,dio_02qut94,dio_02qu,LONG,LONG,TP,1.0,1.0,real_contact_carried,inner_consequence_carried,0.490679,0.0,0.490679,9,tp_trust_visible,0.291659,0.0,0.053713,0.38496,0.192154,"dio_02qu: DIO sieht eine innen getragene Konsequenzspur; Kontakt=real_contact_carried, Aktion=LONG, Event=TP, trust=0.490679, caution=0.000000.",debug\dio_mini_pipeline_livecheck_probe18\dio_mini_lauf_157\episodes.csv,1
