passive_family_action,freshness_state,inner_memory_state,first_seen_map,last_seen_map,latest_map,map_labels,missing_after_last_seen,map_count,time_span_maps,seen_density,trace_count,seeds,actions,real_reward_sum,avg_similarity,avg_mcm_similarity,passive_only,influences_action,is_gate,is_motoric,time_note
dio_14xc:LONG,fresh_stable_trace,passive_inner_memory_stable,basis,followup3,followup3,"basis,followup1,followup2,followup3",,4,4,1.000000,4,inner_trust_seed,LONG,12.000000,0.800216,0.843511,1,0,0,0,dio_14xc:LONG: Zeitspur bleibt frisch und stabil (basis -> followup3); Samen=inner_trust_seed.
dio_173s:SHORT,fresh_reorganizing_trace,passive_inner_memory_reorganizing,basis,followup3,followup3,"basis,followup1,followup2,followup3",,4,4,1.000000,4,"inner_reorganization_seed,inner_trust_seed",SHORT,12.000000,0.811962,0.816814,1,0,0,0,"dio_173s:SHORT: Zeitspur ist frisch, aber reorganisierend (basis -> followup3); Samen=inner_reorganization_seed,inner_trust_seed."
dio_04zi:LONG,stale_trace_without_recent_consequence,passive_inner_memory_stable,basis,followup1,followup3,"basis,followup1","followup2,followup3",2,2,0.500000,2,inner_carefulness_seed,LONG,-4.000000,0.737970,0.730840,1,0,0,0,"dio_04zi:LONG: Spur war frueher sichtbar, aber ohne juengste Konsequenz; zeitlich vorsichtig lesen."
dio_1qig:LONG,stale_trace_without_recent_consequence,passive_inner_memory_stable,basis,followup1,followup3,"basis,followup1","followup2,followup3",2,2,0.500000,2,inner_carefulness_seed,LONG,-4.000000,0.762543,0.752622,1,0,0,0,"dio_1qig:LONG: Spur war frueher sichtbar, aber ohne juengste Konsequenz; zeitlich vorsichtig lesen."
dio_1w4m:LONG,stale_trace_without_recent_consequence,passive_inner_memory_stable,basis,followup1,followup3,"basis,followup1","followup2,followup3",2,2,0.500000,2,inner_carefulness_seed,LONG,-4.000000,0.886422,0.913191,1,0,0,0,"dio_1w4m:LONG: Spur war frueher sichtbar, aber ohne juengste Konsequenz; zeitlich vorsichtig lesen."
dio_0izw:SHORT,local_trace_without_recent_return,passive_inner_memory_local,basis,basis,followup3,basis,"followup1,followup2,followup3",1,1,0.250000,1,inner_reorganization_seed,SHORT,3.000000,0.884336,0.944241,1,0,0,0,dio_0izw:SHORT: lokale Spur kehrt in der juengsten Karte nicht wieder; sie bleibt offene Erinnerung.
dio_15ms:SHORT,local_trace_without_recent_return,passive_inner_memory_local,basis,basis,followup3,basis,"followup1,followup2,followup3",1,1,0.250000,1,inner_reorganization_seed,SHORT,-3.000000,0.787475,0.849840,1,0,0,0,dio_15ms:SHORT: lokale Spur kehrt in der juengsten Karte nicht wieder; sie bleibt offene Erinnerung.
dio_1vjg:LONG,local_trace_without_recent_return,passive_inner_memory_local,followup1,followup1,followup3,followup1,"followup2,followup3",1,1,0.250000,1,inner_carefulness_seed,LONG,-1.000000,0.785296,0.797495,1,0,0,0,dio_1vjg:LONG: lokale Spur kehrt in der juengsten Karte nicht wieder; sie bleibt offene Erinnerung.
