learning_note_kind,source_count,note_count,avg_transfer_reife,avg_similarity,sources,pairs,stability_reading,passive_only
note_similar_and_quiet,3,7,0.87199173,0.945091019,"probe15,probe16,probe17","dio_0igh->dio_040y,dio_143d->dio_143d,dio_14xc->dio_143d,dio_1g2t->dio_06bd,dio_1g2t->dio_07rf,dio_1g2t->dio_10dk,dio_1qwp->dio_1f9y",note_kind_repeats_across_variants,1
note_similar_family_carried_but_observed,3,4,0.991196993,0.976834192,"probe15,probe16,probe17","dio_16yc->dio_1d1z,dio_1txv->dio_0cgn,dio_1txv->dio_1c6b",note_kind_repeats_across_variants,1
note_transfer_open,2,18,0.53154926,0.871767059,"probe15,probe16","dio_02qu->dio_1k0r,dio_0arw->dio_0ui9,dio_0arw->dio_173s,dio_0fiy->dio_07rf,dio_0fiy->dio_0ojr,dio_0igh->dio_0cgn,dio_0igh->dio_0hd3,dio_0x1o->dio_1g18,dio_0x1o->dio_1g7l,dio_143d->dio_0cgn,dio_143d->dio_0hd3,dio_14xc->dio_0cgn,dio_14xc->dio_0hd3,dio_16yc->dio_0fa9,dio_16yc->dio_0izw,dio_1qwp->dio_0cgn,dio_1qwp->dio_0hd3,dio_1vpi->dio_0cgn",note_kind_repeats_across_variants,1
note_similar_and_carried,2,4,0.874352583,0.906191007,"probe15,probe17","dio_02qu->dio_0ofo,dio_0arw->dio_0ofo,dio_0x1o->dio_0ps1,dio_1vpi->dio_0hd3",note_kind_repeats_across_variants,1
note_similar_but_not_action_mature,2,2,0.388642518,0.856953996,"probe15,probe17","dio_02qu->dio_173s,dio_1vpi->dio_1m4n",note_kind_repeats_across_variants,1
note_similar_and_burdened,1,1,0.992195431,0.979461661,probe17,dio_0fiy->dio_1d3r,note_kind_single_variant,1
