sign_state,sign_count,families,source_count_sum,withheld_count_sum,passive_only,influences_action
known_lage_observed,11,dio_0g0p|dio_0gtz|dio_0t0v|dio_0u8u|dio_0y8w|dio_1361|dio_14eb|dio_14i8|dio_1ayy|dio_1rv1|dio_1t1w,12,38,True,False
known_lage_direction_candidate,3,dio_0eh8|dio_0qze|dio_0szn,3,12,True,False
known_lage_direction_unripe,1,dio_0x52,5,14,True,False
known_lage_open_direction,1,dio_0hd3,1,2,True,False
