inner_transition,count,reward_sum,best_reward_sum,avg_reward,families,actions
same_inner_state,6,7.09073,7.09073,1.181788,"dio_0akd,dio_0arw",LONG
timeline_start,4,3.577568,3.577568,0.894392,dio_1u7v,SHORT
inner_open_observation_to_inner_carried,2,0.667386,0.667386,0.333693,dio_0120,LONG
inner_carried_to_inner_open_observation,4,0.0,0.37806,0.0,dio_14xc,WAIT
inner_cautious_to_inner_open_observation,2,0.0,0.73488,0.0,dio_02qu,WAIT
inner_cautious_to_inner_unfinished,2,0.0,1.258292,0.0,dio_00qb,WAIT
inner_unfinished_to_inner_carried,2,0.0,2.073318,0.0,dio_0t0v,WAIT
inner_open_observation_to_inner_cautious,4,-0.684966,0.569932,-0.171241,dio_1vpi,"SHORT,WAIT"
