family,count,actions,reward_sum,avg_reward,avg_entry_improvement_room,max_entry_improvement_room
dio_0lt6,1,SHORT:1,-0.249492,-0.249492,0.004385,0.004385
dio_1e6y,1,LONG:1,0.941453,0.941453,0.001844,0.001844
dio_15th,1,LONG:1,1.296838,1.296838,0.001635,0.001635
dio_1fqy,2,SHORT:2,3.10993,1.554965,0.001605,0.001605
dio_1ytj,3,LONG:3,3.443424,1.147808,0.001416,0.001416
