family,run_count,first_run,last_run,executed_runs,observed_runs,held_runs,raw_runs,reward_sum,max_trade_readiness,max_mature_transfer,transition
dio_1fqy,4,44,47,2,2,0,2,3.10993,0.216453,0.075255,observation_to_execution
dio_1e6y,4,44,47,1,3,0,1,0.941453,0.07695,0.059666,observation_to_execution
dio_15th,3,44,46,1,2,0,1,1.296838,0.051073,0.051073,observation_to_execution
dio_1ytj,3,44,47,3,0,0,3,3.443424,0.497767,0.062001,persistent_execution
dio_0lt6,1,46,46,1,0,0,1,-0.249492,0.329321,0.066798,persistent_execution
dio_0my4,4,44,47,0,4,0,0,0.0,0.036879,0.036879,stable_observation
dio_18je,2,44,45,0,2,0,0,0.0,0.018078,0.018078,stable_observation
dio_1gz3,2,44,45,0,2,0,0,0.0,0.00725,0.00725,stable_observation
dio_1iuo,2,44,45,0,2,0,0,0.0,0.021999,0.021999,stable_observation
dio_1k0r,2,44,45,0,2,0,0,0.0,0.020565,0.020565,stable_observation
dio_1pyo,2,44,45,0,2,0,0,0.0,0.019025,0.019025,stable_observation
dio_1xdw,2,44,45,0,2,0,0,0.0,0.010235,0.010235,stable_observation
dio_1y8o,2,44,45,0,2,0,0,0.0,0.004275,0.004275,stable_observation
dio_0786,1,46,46,0,1,0,0,0.0,0.004144,0.004144,stable_observation
dio_1ieq,1,46,46,0,1,0,0,0.0,0.046758,0.046758,stable_observation
