family,run,rows,executed,raw_trade_pressure,held_same_episode,observed_potential,reward_sum,max_trade_readiness,max_mature_transfer
dio_0786,46,1,0,0,0,1,0.0,0.004144,0.004144
dio_0lt6,46,1,1,1,0,0,-0.249492,0.329321,0.066798
dio_0my4,44,1,0,0,0,1,0.0,0.00366,0.00366
dio_0my4,45,1,0,0,0,1,0.0,0.007593,0.007593
dio_0my4,46,1,0,0,0,1,0.0,0.019142,0.019142
dio_0my4,47,1,0,0,0,1,0.0,0.036879,0.036879
dio_15th,44,1,0,0,0,1,0.0,0.004028,0.004028
dio_15th,45,1,0,0,0,1,0.0,0.016453,0.016453
dio_15th,46,1,1,1,0,0,1.296838,0.051073,0.051073
dio_18je,44,1,0,0,0,1,0.0,0.005394,0.005394
dio_18je,45,1,0,0,0,1,0.0,0.018078,0.018078
dio_1e6y,44,1,0,0,0,1,0.0,0.004158,0.004158
dio_1e6y,45,1,0,0,0,1,0.0,0.012972,0.012972
dio_1e6y,46,1,0,0,0,1,0.0,0.038173,0.038173
dio_1e6y,47,1,1,1,0,0,0.941453,0.07695,0.059666
dio_1fqy,44,1,0,0,0,1,0.0,0.005518,0.005518
dio_1fqy,45,1,0,0,0,1,0.0,0.019979,0.019979
dio_1fqy,46,1,1,1,0,0,1.554965,0.061473,0.061473
dio_1fqy,47,1,1,1,0,0,1.554965,0.216453,0.075255
dio_1gz3,44,1,0,0,0,1,0.0,0.003946,0.003946
dio_1gz3,45,1,0,0,0,1,0.0,0.00725,0.00725
dio_1ieq,46,1,0,0,0,1,0.0,0.046758,0.046758
dio_1iuo,44,1,0,0,0,1,0.0,0.004461,0.004461
dio_1iuo,45,1,0,0,0,1,0.0,0.021999,0.021999
dio_1k0r,44,1,0,0,0,1,0.0,0.004439,0.004439
dio_1k0r,45,1,0,0,0,1,0.0,0.020565,0.020565
dio_1pyo,44,1,0,0,0,1,0.0,0.004688,0.004688
dio_1pyo,45,1,0,0,0,1,0.0,0.019025,0.019025
dio_1xdw,44,1,0,0,0,1,0.0,0.004999,0.004999
dio_1xdw,45,1,0,0,0,1,0.0,0.010235,0.010235
dio_1y8o,44,1,0,0,0,1,0.0,0.004275,0.004275
dio_1y8o,45,1,0,0,0,1,0.0,0.004038,0.004038
dio_1ytj,44,1,1,1,0,0,1.147808,0.204188,0.053485
dio_1ytj,45,1,1,1,0,0,1.147808,0.386751,0.057038
dio_1ytj,47,1,1,1,0,0,1.147808,0.497767,0.062001
