left_family,right_family,distance,similarity,left_action,right_action,same_action,long_alignment,short_alignment,cross_alignment,left_count,right_count,left_long_trust,right_long_trust,left_short_trust,right_short_trust,left_long_observations,right_long_observations,left_short_observations,right_short_observations
dio_0odx,dio_12qo,0.064065,0.95306,SHORT,-,0,0.0,0.0,0.0,4,2,0.0,0.0,0.040629,0.0,0,0,4,0
dio_0odx,dio_1ieq,0.064355,0.952655,SHORT,LONG,0,0.0,0.0,0.000969,4,4,0.0,0.050943,0.040629,0.0,0,4,4,0
dio_0jqv,dio_1h37,0.06455,0.952381,SHORT,LONG,0,0.0,0.0,3e-05,2,6,0.0,0.00278,0.04526,0.0,0,4,2,0
dio_0oio,dio_13ey,0.064947,0.951821,LONG,LONG,1,0.000681,0.0,0.0,3,2,0.116848,0.031924,0.0,0.0,3,2,0,0
dio_01nf,dio_0i5m,0.065051,0.951674,LONG,SHORT,0,0.0,0.0,0.000765,4,2,0.024283,0.0,0.0,0.13238,4,0,0,2
dio_0ifl,dio_0v36,0.065189,0.951479,SHORT,SHORT,1,0.0,0.000673,0.0,1,2,0.0,0.0,0.068948,0.1536,0,0,1,2
dio_0i5m,dio_0v36,0.06667,0.949362,SHORT,SHORT,1,0.0,0.002461,0.0,2,2,0.0,0.0,0.13238,0.1536,0,0,2,2
dio_0dcm,dio_1r0h,0.067139,0.948684,SHORT,SHORT,1,0.0,0.015374,0.0,2,4,0.0,0.0,0.116029,0.528832,0,0,2,2
dio_07mf,dio_1hjj,0.06864,0.946489,LONG,SHORT,0,0.0,0.0,0.002053,4,4,0.048108,0.0,0.0,0.091204,4,0,0,4
dio_0nmi,dio_1uez,0.068807,0.946241,LONG,LONG,1,0.001749,0.0,0.0,4,3,0.016255,0.307706,0.0,0.0,4,2,0,0
dio_0jqv,dio_1j78,0.070846,0.943192,SHORT,LONG,0,0.0,0.0,4.3e-05,2,2,0.0,0.007401,0.04526,0.0,0,2,2,0
dio_052z,dio_0n4c,0.071292,0.942515,LONG,SHORT,0,0.0,0.0,0.076401,4,4,0.349178,0.0,0.0,0.474472,2,0,0,2
dio_07mf,dio_1iuq,0.07221,0.941112,LONG,SHORT,0,0.0,0.0,0.001205,4,3,0.048108,0.0,0.0,0.070574,4,0,0,3
dio_14zx,dio_1hzf,0.072399,0.940823,SHORT,SHORT,1,0.0,0.030511,0.0,3,3,0.0,0.0,0.379055,0.316644,0,0,2,2
dio_0vyd,dio_1gzm,0.072547,0.940594,SHORT,SHORT,1,0.0,0.002634,0.0,2,2,0.0,0.0,0.138131,0.1536,0,0,2,2
dio_0byw,dio_1r0h,0.072755,0.940274,LONG,SHORT,0,0.0,0.0,0.358104,10,4,1.0,0.0,0.0,0.528832,1,0,0,2
dio_0vyd,dio_0wsj,0.074119,0.938154,SHORT,LONG,0,0.0,0.0,0.002249,2,2,0.0,0.130805,0.138131,0.0,0,2,2,0
dio_14zx,dio_1bzs,0.075423,0.936099,SHORT,SHORT,1,0.0,0.013747,0.0,3,3,0.0,0.0,0.379055,0.140884,0,0,2,3
dio_081d,dio_0f4h,0.076078,0.935057,LONG,LONG,1,0.00715,0.0,0.0,2,4,0.149175,0.20001,0.0,0.0,2,3,0,0
dio_13ey,dio_1ieq,0.076943,0.93367,LONG,LONG,1,0.00039,0.0,0.0,2,4,0.031924,0.050943,0.0,0.0,2,4,0,0
dio_0e6t,dio_0nv8,0.077617,0.932581,LONG,SHORT,0,0.0,0.0,0.007601,2,3,0.111017,0.0,0.0,0.387766,2,0,0,2
dio_1hjj,dio_1iuq,0.078169,0.931684,SHORT,SHORT,1,0.0,0.002259,0.0,4,3,0.0,0.0,0.091204,0.070574,0,0,4,3
dio_0olv,dio_0v36,0.078322,0.931435,SHORT,SHORT,1,0.0,0.002885,0.0,2,2,0.0,0.0,0.1536,0.1536,0,0,2,2
dio_0309,dio_0jqv,0.078898,0.930493,SHORT,SHORT,1,0.0,0.000182,0.0,2,2,0.0,0.0,0.031641,0.04526,0,0,2,2
dio_081d,dio_1ml8,0.079489,0.929522,LONG,LONG,1,0.001935,0.0,0.0,2,2,0.149175,0.103676,0.0,0.0,2,2,0,0
dio_0lt6,dio_1r0b,0.079868,0.928896,SHORT,SHORT,1,0.0,0.050852,0.0,6,4,0.0,0.0,0.313441,0.239714,0,0,3,3
dio_0dcm,dio_0n4c,0.08027,0.92823,SHORT,SHORT,1,0.0,0.013927,0.0,2,4,0.0,0.0,0.116029,0.474472,0,0,2,2
dio_081d,dio_1tg9,0.080605,0.927673,LONG,LONG,1,0.002852,0.0,0.0,2,2,0.149175,0.1536,0.0,0.0,2,2,0,0
dio_01nf,dio_0v36,0.080806,0.927338,LONG,SHORT,0,0.0,0.0,0.000888,4,2,0.024283,0.0,0.0,0.1536,4,0,0,2
dio_0f4h,dio_1jtc,0.08096,0.927081,LONG,LONG,1,0.004374,0.0,0.0,4,2,0.20001,0.092625,0.0,0.0,3,2,0,0
dio_0nv8,dio_0wsj,0.082772,0.924031,SHORT,LONG,0,0.0,0.0,0.008987,3,2,0.0,0.130805,0.387766,0.0,0,2,2,0
dio_0wsj,dio_1gzm,0.084078,0.921804,LONG,SHORT,0,0.0,0.0,0.002459,2,2,0.130805,0.0,0.0,0.1536,2,0,0,2
dio_0nmi,dio_1144,0.084287,0.921446,LONG,SHORT,0,0.0,0.0,0.000579,4,2,0.016255,0.0,0.0,0.1536,4,0,0,2
dio_05z6,dio_0zlr,0.084476,0.92112,SHORT,SHORT,1,0.0,0.010188,0.0,4,3,0.0,0.0,0.22047,0.136095,0,0,3,3
dio_081d,dio_1vb3,0.08488,0.920424,LONG,LONG,1,0.002324,0.0,0.0,2,4,0.149175,0.063969,0.0,0.0,2,4,0,0
dio_0nmi,dio_1ml8,0.085075,0.920088,LONG,LONG,1,0.00041,0.0,0.0,4,2,0.016255,0.103676,0.0,0.0,4,2,0,0
dio_05z6,dio_1hzf,0.085931,0.918603,SHORT,SHORT,1,0.0,0.023907,0.0,4,3,0.0,0.0,0.22047,0.316644,0,0,3,2
dio_05z6,dio_1bzs,0.08614,0.918239,SHORT,SHORT,1,0.0,0.010772,0.0,4,3,0.0,0.0,0.22047,0.140884,0,0,3,3
dio_05vm,dio_1ml8,0.086272,0.918008,LONG,LONG,1,0.000803,0.0,0.0,2,2,0.062918,0.103676,0.0,0.0,2,2,0,0
dio_0nmi,dio_1jtc,0.087207,0.916371,LONG,LONG,1,0.000363,0.0,0.0,4,2,0.016255,0.092625,0.0,0.0,4,2,0,0
dio_0i5m,dio_1mc3,0.088099,0.914799,SHORT,SHORT,1,0.0,0.006832,0.0,2,3,0.0,0.0,0.13238,0.293248,0,0,2,2
dio_0byw,dio_0dcm,0.088371,0.914316,LONG,SHORT,0,0.0,0.0,0.042939,10,2,1.0,0.0,0.0,0.116029,1,0,0,2
dio_081d,dio_0k53,0.089394,0.912495,LONG,LONG,1,0.002862,0.0,0.0,2,2,0.149175,0.1536,0.0,0.0,2,2,0,0
dio_07yj,dio_1tki,0.089508,0.912292,LONG,LONG,1,0.002303,0.0,0.0,2,2,0.126316,0.1536,0.0,0.0,2,2,0,0
dio_0ifl,dio_1mc3,0.08958,0.912163,SHORT,SHORT,1,0.0,0.001868,0.0,1,3,0.0,0.0,0.068948,0.293248,0,0,1,2
dio_01nf,dio_0olv,0.09052,0.910476,LONG,SHORT,0,0.0,0.0,0.000896,4,2,0.024283,0.0,0.0,0.1536,4,0,0,2
dio_074d,dio_0k53,0.090725,0.910107,SHORT,LONG,0,0.0,0.0,0.002938,2,2,0.0,0.1536,0.1536,0.0,0,2,2,0
dio_074d,dio_1uez,0.092308,0.907236,SHORT,LONG,0,0.0,0.0,0.008475,2,3,0.0,0.307706,0.1536,0.0,0,2,2,0
dio_1jtc,dio_1tg9,0.092793,0.906351,LONG,LONG,1,0.001745,0.0,0.0,2,2,0.092625,0.1536,0.0,0.0,2,2,0,0
dio_052z,dio_0irs,0.094261,0.903651,LONG,LONG,1,0.011495,0.0,0.0,4,2,0.349178,0.130321,0.0,0.0,2,2,0,0
dio_0nv8,dio_0qb3,0.095527,0.901303,SHORT,LONG,0,0.0,0.0,0.000402,3,4,0.0,0.00299,0.387766,0.0,0,4,2,0
dio_00eh,dio_0lt6,0.095536,0.901286,SHORT,SHORT,1,0.0,0.017489,0.0,4,6,0.0,0.0,0.081464,0.313441,0,0,4,3
dio_1144,dio_1ml8,0.095556,0.901249,SHORT,LONG,0,0.0,0.0,0.001889,2,2,0.0,0.103676,0.1536,0.0,0,2,2,0
dio_0e6t,dio_1gzm,0.095735,0.900916,LONG,SHORT,0,0.0,0.0,0.00208,2,2,0.111017,0.0,0.0,0.1536,2,0,0,2
dio_0ifl,dio_1gzm,0.096071,0.900288,SHORT,SHORT,1,0.0,0.000676,0.0,1,2,0.0,0.0,0.068948,0.1536,0,0,1,2
dio_0qb3,dio_1gzm,0.096389,0.899693,LONG,SHORT,0,0.0,0.0,0.00011,4,2,0.00299,0.0,0.0,0.1536,4,0,0,2
dio_1jtc,dio_1vb3,0.096606,0.899286,LONG,LONG,1,0.001421,0.0,0.0,2,4,0.092625,0.063969,0.0,0.0,2,4,0,0
dio_00eh,dio_0odx,0.096916,0.898704,SHORT,SHORT,1,0.0,0.001547,0.0,4,4,0.0,0.0,0.081464,0.040629,0,0,4,4
dio_0jqv,dio_18iw,0.096976,0.898592,SHORT,SHORT,1,0.0,0.00017,0.0,2,3,0.0,0.0,0.04526,0.020306,0,0,2,3
dio_0i5m,dio_1gzm,0.097552,0.897507,SHORT,SHORT,1,0.0,0.002471,0.0,2,2,0.0,0.0,0.13238,0.1536,0,0,2,2
dio_0k53,dio_1jtc,0.097772,0.897093,LONG,LONG,1,0.001751,0.0,0.0,2,2,0.1536,0.092625,0.0,0.0,2,2,0,0
dio_0e6t,dio_0wsj,0.097853,0.896939,LONG,LONG,1,0.001776,0.0,0.0,2,2,0.111017,0.130805,0.0,0.0,2,2,0,0
dio_0v36,dio_0vyd,0.097883,0.896882,SHORT,SHORT,1,0.0,0.002624,0.0,2,2,0.0,0.0,0.1536,0.138131,0,0,2,2
dio_13wt,dio_1tg9,0.098246,0.896197,SHORT,LONG,0,0.0,0.0,0.002692,2,2,0.0,0.1536,0.139362,0.0,0,2,2,0
dio_0ifl,dio_0nv8,0.098404,0.895896,SHORT,SHORT,1,0.0,0.002469,0.0,1,3,0.0,0.0,0.068948,0.387766,0,0,1,2
dio_1jtc,dio_1tki,0.098487,0.895739,LONG,LONG,1,0.001678,0.0,0.0,2,2,0.092625,0.1536,0.0,0.0,2,2,0,0
dio_01nf,dio_0vyd,0.099007,0.894752,LONG,SHORT,0,0.0,0.0,0.000815,4,2,0.024283,0.0,0.0,0.138131,4,0,0,2
dio_1lam,dio_1r0h,0.099083,0.894608,LONG,SHORT,0,0.0,0.0,0.10112,4,4,0.419565,0.0,0.0,0.528832,2,0,0,2
dio_0i5m,dio_0nv8,0.099886,0.893076,SHORT,SHORT,1,0.0,0.009028,0.0,2,3,0.0,0.0,0.13238,0.387766,0,0,2,2
dio_13ey,dio_1hkr,0.099999,0.892859,LONG,-,0,0.0,0.0,0.0,2,4,0.031924,0.0,0.0,0.0,2,0,0,0
dio_0n4c,dio_0qyu,0.100669,0.891574,SHORT,LONG,0,0.0,0.0,0.016833,4,2,0.0,0.1536,0.474472,0.0,0,2,2,0
dio_0ifl,dio_0wsj,0.101505,0.889965,SHORT,LONG,0,0.0,0.0,0.000577,1,2,0.0,0.130805,0.068948,0.0,0,2,1,0
dio_0f4h,dio_1ml8,0.101691,0.889606,LONG,LONG,1,0.004942,0.0,0.0,4,2,0.20001,0.103676,0.0,0.0,3,2,0,0
dio_074d,dio_1tg9,0.102678,0.887694,SHORT,LONG,0,0.0,0.0,0.002928,2,2,0.0,0.1536,0.1536,0.0,0,2,2,0
dio_0av4,dio_0t45,0.102904,0.887256,SHORT,SHORT,1,0.0,0.003357,0.0,3,2,0.0,0.0,0.122245,0.152816,0,0,3,2
dio_0i5m,dio_0wsj,0.102987,0.887095,SHORT,LONG,0,0.0,0.0,0.00211,2,2,0.0,0.130805,0.13238,0.0,0,2,2,0
dio_0oio,dio_1ieq,0.103127,0.886822,LONG,LONG,1,0.002129,0.0,0.0,3,4,0.116848,0.050943,0.0,0.0,3,4,0,0
dio_07yj,dio_1ml8,0.104297,0.884537,LONG,LONG,1,0.001624,0.0,0.0,2,2,0.126316,0.103676,0.0,0.0,2,2,0,0
dio_081d,dio_1uez,0.104371,0.884392,LONG,LONG,1,0.008255,0.0,0.0,2,3,0.149175,0.307706,0.0,0.0,2,2,0,0
dio_074d,dio_1vb3,0.106944,0.879318,SHORT,LONG,0,0.0,0.0,0.002386,2,4,0.0,0.063969,0.1536,0.0,0,4,2,0
dio_0byw,dio_0irs,0.107597,0.87802,LONG,LONG,1,0.048805,0.0,0.0,10,2,1.0,0.130321,0.0,0.0,1,2,0,0
dio_0v36,dio_0wsj,0.107844,0.877528,SHORT,LONG,0,0.0,0.0,0.00245,2,2,0.0,0.130805,0.1536,0.0,0,2,2,0
dio_0dcm,dio_1lam,0.108271,0.876677,SHORT,LONG,0,0.0,0.0,0.012125,2,4,0.0,0.419565,0.116029,0.0,0,2,2,0
dio_0e6t,dio_0v36,0.108896,0.875426,LONG,SHORT,0,0.0,0.0,0.002072,2,2,0.111017,0.0,0.0,0.1536,2,0,0,2
dio_0irs,dio_0n4c,0.109358,0.8745,LONG,SHORT,0,0.0,0.0,0.015829,2,4,0.130321,0.0,0.0,0.474472,2,0,0,2
dio_0olv,dio_1gzm,0.109388,0.87444,SHORT,SHORT,1,0.0,0.002895,0.0,2,2,0.0,0.0,0.1536,0.1536,0,0,2,2
dio_0f4h,dio_1144,0.109394,0.874427,LONG,SHORT,0,0.0,0.0,0.006983,4,2,0.20001,0.0,0.0,0.1536,3,0,0,2
dio_0qb3,dio_0vyd,0.111136,0.870917,LONG,SHORT,0,0.0,0.0,0.0001,4,2,0.00299,0.0,0.0,0.138131,4,0,0,2
dio_0k53,dio_13wt,0.111342,0.8705,LONG,SHORT,0,0.0,0.0,0.002701,2,2,0.1536,0.0,0.0,0.139362,2,0,0,2
dio_1ml8,dio_1vb3,0.111928,0.869312,LONG,LONG,1,0.001606,0.0,0.0,2,4,0.103676,0.063969,0.0,0.0,2,4,0,0
dio_07yj,dio_13wt,0.112981,0.86717,LONG,SHORT,0,0.0,0.0,0.002218,2,2,0.126316,0.0,0.0,0.139362,2,0,0,2
dio_0byw,dio_0qyu,0.113382,0.866351,LONG,LONG,1,0.051902,0.0,0.0,10,2,1.0,0.1536,0.0,0.0,1,2,0,0
dio_1144,dio_1tg9,0.113922,0.865248,SHORT,LONG,0,0.0,0.0,0.002785,2,2,0.0,0.1536,0.1536,0.0,0,2,2,0
dio_05vm,dio_1rka,0.113924,0.865242,LONG,LONG,1,0.000928,0.0,0.0,2,2,0.062918,0.121473,0.0,0.0,2,2,0,0
dio_0oio,dio_1hkr,0.114022,0.865042,LONG,-,0,0.0,0.0,0.0,3,4,0.116848,0.0,0.0,0.0,3,0,0,0
dio_074d,dio_0f4h,0.114109,0.864864,SHORT,LONG,0,0.0,0.0,0.007341,2,4,0.0,0.20001,0.1536,0.0,0,3,2,0
dio_11wp,dio_1hkr,0.114575,0.863908,-,-,0,0.0,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0,0,0,0
dio_12qo,dio_1hkr,0.114916,0.863208,-,-,0,0.0,0.0,0.0,2,4,0.0,0.0,0.0,0.0,0,0,0,0
dio_13wt,dio_1vb3,0.116473,0.859999,SHORT,LONG,0,0.0,0.0,0.002193,2,4,0.0,0.063969,0.139362,0.0,0,4,2,0
dio_1ml8,dio_1tg9,0.116613,0.859709,LONG,LONG,1,0.001972,0.0,0.0,2,2,0.103676,0.1536,0.0,0.0,2,2,0,0
dio_0qb3,dio_0v36,0.116934,0.859045,LONG,SHORT,0,0.0,0.0,0.00011,4,2,0.00299,0.0,0.0,0.1536,4,0,0,2
dio_0rh0,dio_1hkr,0.117217,0.85846,SHORT,-,0,0.0,0.0,0.0,4,4,0.0,0.0,0.030243,0.0,0,0,4,0
dio_01nf,dio_0e6t,0.117263,0.858364,LONG,LONG,1,0.000644,0.0,0.0,4,2,0.024283,0.111017,0.0,0.0,4,2,0,0
dio_0nv8,dio_0olv,0.117361,0.85816,SHORT,SHORT,1,0.0,0.010581,0.0,3,2,0.0,0.0,0.387766,0.1536,0,0,2,2
dio_1144,dio_1vb3,0.118197,0.856424,SHORT,LONG,0,0.0,0.0,0.002269,2,4,0.0,0.063969,0.1536,0.0,0,4,2,0
dio_07yj,dio_0nmi,0.118764,0.855242,LONG,LONG,1,0.000498,0.0,0.0,2,4,0.126316,0.016255,0.0,0.0,2,4,0,0
dio_0odx,dio_13ey,0.119044,0.854659,SHORT,LONG,0,0.0,0.0,0.00031,4,2,0.0,0.031924,0.040629,0.0,0,2,4,0
dio_074d,dio_0b0d,0.119092,0.854558,SHORT,SHORT,1,0.0,0.018888,0.0,2,4,0.0,0.0,0.1536,0.518315,0,0,2,2
dio_07yj,dio_081d,0.119704,0.85328,LONG,LONG,1,0.00235,0.0,0.0,2,2,0.126316,0.149175,0.0,0.0,2,2,0,0
