symbol_family,count,best_reward_sum,best_reward_avg,best_reward_max,dominant_best_action,long_count,short_count,runs,ticks
dio_1cey,1,0.192985,0.192985,0.192985,LONG,1,0,128,18
dio_1ayy,1,0.08337,0.08337,0.08337,SHORT,0,1,128,11
