stage_order,stage_label,family,found,match_count,text_islands,text_changed_from_previous,inner_map_states,maturity_states,semantic_maturity_score,score_delta_from_previous,stability_pressure,variation_bearing,drift_pressure,lineage_motion_state,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
1,J_FOLGEKONTAKT,dio_10qz,True,1,dio_text_1puy4tw,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.22,0.0,0.55,0.088,0.0,family_carried_phase,True,False,False,False,False,False,False,False
1,J_FOLGEKONTAKT,dio_114i,True,1,dio_text_1puy4tw,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.22,0.0,0.55,0.088,0.0,family_carried_phase,True,False,False,False,False,False,False,False
1,J_FOLGEKONTAKT,dio_1ytc,True,1,dio_text_1puy4tw,False,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.22,0.0,0.55,0.088,0.0,family_carried_phase,True,False,False,False,False,False,False,False
2,VARIANTE_K_folgekontakt2,dio_10qz,True,1,dio_text_1q6p,True,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.226666667,0.006666667,0.55,0.090666667,0.0,family_carried_phase,True,False,False,False,False,False,False,False
2,VARIANTE_K_folgekontakt2,dio_114i,True,1,dio_text_1q6p,True,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.226666667,0.006666667,0.55,0.090666667,0.0,family_carried_phase,True,False,False,False,False,False,False,False
2,VARIANTE_K_folgekontakt2,dio_1ytc,True,1,dio_text_1q6p,True,inner_unconfirmed_raw_space,new_unconfirmed_text_island,0.226666667,0.006666667,0.55,0.090666667,0.0,family_carried_phase,True,False,False,False,False,False,False,False
