symbol_family,conflict_state,trace_count,contact_lage_states,episode_contact_states,positive_count,burden_count,positive_reward_sum,burden_reward_sum,total_reward_sum,actions,passive_only
dio_0wv3,form_erleben_konflikt,7,"bestaetigte_sensorvarianz,exakte_wiederbegegnung,konflikt_wiederbegegnung,nahe_aehnlichkeit","kontakt_beobachtet_reift,kontakt_handlung_belastet,kontakt_handlung_bestaetigt",10,5,13.305551,-8.218442,5.087109,"LONG:12,SHORT:3,WAIT:1",1
dio_14eb,form_bestaetigungsspur,3,"bestaetigte_sensorvarianz,exakte_wiederbegegnung,nahe_aehnlichkeit",kontakt_handlung_bestaetigt,12,0,16.895516,0.0,16.895516,SHORT:12,1
dio_0szn,form_bestaetigungsspur,4,"bestaetigte_sensorvarianz,exakte_wiederbegegnung,nahe_aehnlichkeit","kontakt_beobachtet_reift,kontakt_handlung_bestaetigt",10,0,7.014025,0.0,7.014025,"SHORT:10,WAIT:1",1
dio_0hd3,form_bestaetigungsspur,2,verschobene_sensorvarianz,"kontakt_beobachtet_reift,kontakt_handlung_bestaetigt",2,0,2.91857,0.0,2.91857,"SHORT:2,WAIT:2",1
dio_1tmf,form_bestaetigungsspur,2,ferne_aehnlichkeit,"kontakt_beobachtet_reift,kontakt_handlung_bestaetigt",2,0,2.83212,0.0,2.83212,"LONG:2,WAIT:2",1
dio_0c6o,form_bestaetigungsspur,2,verschobene_sensorvarianz,"kontakt_beobachtet_reift,kontakt_handlung_bestaetigt",2,0,2.296328,0.0,2.296328,"LONG:2,WAIT:2",1
dio_0y4s,form_bestaetigungsspur,2,ferne_aehnlichkeit,"kontakt_beobachtet_reift,kontakt_handlung_bestaetigt",1,0,1.045363,0.0,1.045363,"SHORT:1,WAIT:3",1
dio_0eji,form_bestaetigungsspur,2,konflikt_wiederbegegnung,"kontakt_beobachtet_reift,kontakt_handlung_bestaetigt",1,0,0.884386,0.0,0.884386,"LONG:1,WAIT:3",1
dio_1wie,form_bestaetigungsspur,2,verschobene_sensorvarianz,"kontakt_beobachtet_reift,kontakt_handlung_bestaetigt",1,0,0.794658,0.0,0.794658,"SHORT:1,WAIT:3",1
dio_0eh8,form_bestaetigungsspur,1,exakte_wiederbegegnung,kontakt_handlung_bestaetigt,1,0,0.742752,0.0,0.742752,SHORT:1,1
dio_124d,form_bestaetigungsspur,2,konflikt_wiederbegegnung,"kontakt_beobachtet_reift,kontakt_handlung_bestaetigt",1,0,0.726418,0.0,0.726418,"LONG:1,WAIT:3",1
dio_1gp1,form_bestaetigungsspur,2,ferne_aehnlichkeit,"kontakt_beobachtet_reift,kontakt_handlung_bestaetigt",1,0,0.709061,0.0,0.709061,"SHORT:1,WAIT:3",1
dio_16kb,form_bestaetigungsspur,3,"exakte_wiederbegegnung,nahe_aehnlichkeit","kontakt_beobachtet_reift,kontakt_handlung_bestaetigt",1,0,0.614879,0.0,0.614879,"SHORT:1,WAIT:7",1
dio_19i4,form_bestaetigungsspur,1,konflikt_wiederbegegnung,kontakt_handlung_bestaetigt,1,0,0.536005,0.0,0.536005,SHORT:1,1
dio_1l2h,form_bestaetigungsspur,3,"exakte_wiederbegegnung,nahe_aehnlichkeit","kontakt_beobachtet_reift,kontakt_handlung_bestaetigt",1,0,0.184471,0.0,0.184471,"LONG:1,WAIT:6",1
dio_02az,form_beobachtungsspur,1,konflikt_wiederbegegnung,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_04iy,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:2,1
dio_05cx,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:1,1
dio_05s4,form_beobachtungsspur,1,verschobene_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_06j3,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_07rf,form_beobachtungsspur,1,verschobene_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:2,1
dio_0aam,form_beobachtungsspur,1,konflikt_wiederbegegnung,kontakt_ruhend,0,0,0.0,0.0,0.0,WAIT:3,1
dio_0aib,form_beobachtungsspur,1,konflikt_wiederbegegnung,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_0avw,form_beobachtungsspur,1,verschobene_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:4,1
dio_0bcj,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:2,1
