left_family,right_family,transfer_reife_state,transfer_reife,sensory_mcm_similarity,distance,same_action,same_outcome,same_state_class,event_reward_relation,event_reward_alignment,potential_reward_relation,potential_reward_alignment,left_state_class,right_state_class,left_landkarte_state,right_landkarte_state,left_reflection_state,right_reflection_state,left_action,right_action,left_outcome,right_outcome,left_reward_sum,right_reward_sum,left_event_reward_sum,right_event_reward_sum,passive_only,transfer_sentence
dio_1txv,dio_0cgn,transfer_reife_family_carried_observation_dominant,0.987049799,0.965920524,0.035281864,1,1,1,positive_to_positive,1.0,positive_to_positive,1.0,variant,variant,inner_map_shift_or_variant,inner_map_shift_or_variant,reflection_confirmation_seed,reflection_confirmation_seed,WAIT,WAIT,NO_TRADE,NO_TRADE,1.0,1.0,1.0,1.0,1,dio_1txv -> dio_0cgn: transfer_reife=0.987050; sinnesnaehe=0.965921; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=1.000000->1.000000; potential_reward=1.000000->1.000000.
dio_1g2t,dio_06bd,transfer_reife_quiet_same_consequence,0.824187492,0.932072348,0.072878089,1,1,0,neutral_to_neutral,0.5,neutral_to_neutral,0.5,single,quiet,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_quiet_observation,reflection_quiet_observation,WAIT,WAIT,NO_TRADE,NO_TRADE,0.0,0.0,0.0,0.0,1,dio_1g2t -> dio_06bd: transfer_reife=0.824187; sinnesnaehe=0.932072; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=0.000000->0.000000; potential_reward=0.000000->0.000000.
dio_0igh,dio_0cgn,transfer_reife_open,0.741113552,0.784509348,0.274682071,1,1,0,neutral_to_positive,0.35,neutral_to_positive,0.35,single,variant,inner_map_single_observation,inner_map_shift_or_variant,reflection_quiet_observation,reflection_confirmation_seed,WAIT,WAIT,NO_TRADE,NO_TRADE,0.0,1.0,0.0,1.0,1,dio_0igh -> dio_0cgn: transfer_reife=0.741114; sinnesnaehe=0.784509; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=0.000000->1.000000; potential_reward=0.000000->1.000000.
dio_1qwp,dio_0cgn,transfer_reife_open,0.726113772,0.745036242,0.342216584,1,1,0,neutral_to_positive,0.35,neutral_to_positive,0.35,single,variant,inner_map_single_observation,inner_map_shift_or_variant,reflection_quiet_observation,reflection_confirmation_seed,WAIT,WAIT,NO_TRADE,NO_TRADE,0.0,1.0,0.0,1.0,1,dio_1qwp -> dio_0cgn: transfer_reife=0.726114; sinnesnaehe=0.745036; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=0.000000->1.000000; potential_reward=0.000000->1.000000.
dio_143d,dio_0cgn,transfer_reife_open,0.724887318,0.741808732,0.348056388,1,1,0,neutral_to_positive,0.35,neutral_to_positive,0.35,single,variant,inner_map_single_observation,inner_map_shift_or_variant,reflection_quiet_observation,reflection_confirmation_seed,WAIT,WAIT,NO_TRADE,NO_TRADE,0.0,1.0,0.0,1.0,1,dio_143d -> dio_0cgn: transfer_reife=0.724887; sinnesnaehe=0.741809; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=0.000000->1.000000; potential_reward=0.000000->1.000000.
dio_14xc,dio_0cgn,transfer_reife_open,0.724887318,0.741808732,0.348056388,1,1,0,neutral_to_positive,0.35,neutral_to_positive,0.35,single,variant,inner_map_single_observation,inner_map_shift_or_variant,reflection_quiet_observation,reflection_confirmation_seed,WAIT,WAIT,NO_TRADE,NO_TRADE,0.0,1.0,0.0,1.0,1,dio_14xc -> dio_0cgn: transfer_reife=0.724887; sinnesnaehe=0.741809; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=0.000000->1.000000; potential_reward=0.000000->1.000000.
dio_16yc,dio_0fa9,transfer_reife_consequence_same_action_changed,0.622855961,0.946989371,0.055978061,0,1,0,positive_to_neutral,0.35,positive_to_neutral,0.35,variant,quiet,inner_map_shift_or_variant,inner_map_quiet_stable_identical_repeat,reflection_confirmation_seed,reflection_quiet_observation,SHORT,WAIT,NO_TRADE,NO_TRADE,1.0,0.0,1.0,0.0,1,dio_16yc -> dio_0fa9: transfer_reife=0.622856; sinnesnaehe=0.946989; aktion=SHORT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=1.000000->0.000000; potential_reward=1.000000->0.000000.
dio_02qu,dio_1k0r,transfer_reife_action_same_consequence_changed,0.526370162,0.911500425,0.097092193,1,0,0,positive_to_negative,0.0,positive_to_negative,0.0,trust,caution,inner_map_trust_stable_identical_repeat,inner_map_caution_stable_identical_repeat,reflection_trust_seed,reflection_caution_seed,LONG,LONG,TP,SL,3.0,-3.0,3.0,-3.0,1,dio_02qu -> dio_1k0r: transfer_reife=0.526370; sinnesnaehe=0.911500; aktion=LONG->LONG; konsequenz=TP->SL; event_reward=3.000000->-3.000000; potential_reward=3.000000->-3.000000.
dio_0x1o,dio_1g7l,transfer_reife_open,0.426521955,0.956636725,0.045328884,0,0,0,positive_to_neutral,0.35,positive_to_neutral,0.35,single,quiet,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_trust_seed,reflection_quiet_observation,LONG,WAIT,TP,NO_TRADE,1.0,0.0,1.0,0.0,1,dio_0x1o -> dio_1g7l: transfer_reife=0.426522; sinnesnaehe=0.956637; aktion=LONG->WAIT; konsequenz=TP->NO_TRADE; event_reward=1.000000->0.000000; potential_reward=1.000000->0.000000.
dio_0fiy,dio_0ojr,transfer_reife_open,0.409298378,0.911311521,0.097319607,0,0,0,negative_to_neutral,0.35,negative_to_neutral,0.35,single,quiet,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_negative_open,reflection_quiet_observation,LONG,WAIT,SL,NO_TRADE,-1.0,0.0,-1.0,0.0,1,dio_0fiy -> dio_0ojr: transfer_reife=0.409298; sinnesnaehe=0.911312; aktion=LONG->WAIT; konsequenz=SL->NO_TRADE; event_reward=-1.000000->0.000000; potential_reward=-1.000000->0.000000.
dio_0arw,dio_0ui9,transfer_reife_open,0.40798704,0.907860632,0.101490652,0,0,0,positive_to_neutral,0.35,positive_to_neutral,0.35,single,quiet,inner_map_single_observation,inner_map_quiet_stable_identical_repeat,reflection_trust_seed,reflection_quiet_observation,LONG,WAIT,TP,NO_TRADE,1.0,0.0,1.0,0.0,1,dio_0arw -> dio_0ui9: transfer_reife=0.407987; sinnesnaehe=0.907861; aktion=LONG->WAIT; konsequenz=TP->NO_TRADE; event_reward=1.000000->0.000000; potential_reward=1.000000->0.000000.
dio_1vpi,dio_0cgn,transfer_reife_open,0.350234664,0.763775431,0.309285374,0,0,0,positive_to_positive,0.333333333,positive_to_positive,0.333333333,trust,variant,inner_map_trust_stable_identical_repeat,inner_map_shift_or_variant,reflection_trust_seed,reflection_confirmation_seed,SHORT,WAIT,TP,NO_TRADE,3.0,1.0,3.0,1.0,1,dio_1vpi -> dio_0cgn: transfer_reife=0.350235; sinnesnaehe=0.763775; aktion=SHORT->WAIT; konsequenz=TP->NO_TRADE; event_reward=3.000000->1.000000; potential_reward=3.000000->1.000000.
