transfer_reife_state,family_count,avg_transfer_reife,avg_similarity,same_action_count,same_outcome_count,families
transfer_reife_family_carried_observation_dominant,1,0.987049799,0.965920524,1,1,dio_1txv->dio_0cgn
transfer_reife_quiet_same_consequence,1,0.824187492,0.932072348,1,1,dio_1g2t->dio_06bd
transfer_reife_consequence_same_action_changed,1,0.622855961,0.946989371,0,1,dio_16yc->dio_0fa9
transfer_reife_open,8,0.5638805,0.81909342,4,4,"dio_0arw->dio_0ui9,dio_0fiy->dio_0ojr,dio_0igh->dio_0cgn,dio_0x1o->dio_1g7l,dio_143d->dio_0cgn,dio_14xc->dio_0cgn,dio_1qwp->dio_0cgn,dio_1vpi->dio_0cgn"
transfer_reife_action_same_consequence_changed,1,0.526370162,0.911500425,1,0,dio_02qu->dio_1k0r
