learning_note_kind,source_count,note_count,avg_transfer_reife,avg_similarity,sources,pairs,stability_reading,passive_only
note_similar_and_quiet,2,6,0.886046227,0.963279545,"probe16,probe17","dio_0igh->dio_040y,dio_143d->dio_143d,dio_14xc->dio_143d,dio_1g2t->dio_06bd,dio_1g2t->dio_10dk,dio_1qwp->dio_1f9y",note_kind_repeats_across_variants,1
note_similar_family_carried_but_observed,2,3,0.992579391,0.980472082,"probe16,probe17","dio_16yc->dio_1d1z,dio_1txv->dio_0cgn,dio_1txv->dio_1c6b",note_kind_repeats_across_variants,1
note_transfer_open,1,10,0.566027012,0.841123716,probe16,"dio_02qu->dio_1k0r,dio_0arw->dio_0ui9,dio_0fiy->dio_0ojr,dio_0igh->dio_0cgn,dio_0x1o->dio_1g7l,dio_143d->dio_0cgn,dio_14xc->dio_0cgn,dio_16yc->dio_0fa9,dio_1qwp->dio_0cgn,dio_1vpi->dio_0cgn",note_kind_repeats_inside_one_variant,1
note_similar_and_carried,1,3,0.899831111,0.894292396,probe17,"dio_02qu->dio_0ofo,dio_0arw->dio_0ofo,dio_0x1o->dio_0ps1",note_kind_repeats_inside_one_variant,1
note_similar_and_burdened,1,1,0.992195431,0.979461661,probe17,dio_0fiy->dio_1d3r,note_kind_single_variant,1
note_similar_but_not_action_mature,1,1,0.434182048,0.976794864,probe17,dio_1vpi->dio_1m4n,note_kind_single_variant,1
