family,visible_stage_count,visible_stages,unique_text_island_count,text_island_sequence,first_score,last_score,score_delta_first_to_last,max_score,min_score,has_drift_phase,has_text_change,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_0325,2,L_FOLGEKONTAKT3|VARIANTE_M_folgekontakt4,2,dio_text_1q6p -> dio_text_1x39ndk,0.226666667,0.206666667,-0.02,0.226666667,0.206666667,False,True,True,False,False,False,False,False,False,False
dio_10qz,2,L_FOLGEKONTAKT3|VARIANTE_M_folgekontakt4,2,dio_text_1q6p -> dio_text_lzxisi,0.226666667,0.213333333,-0.013333334,0.226666667,0.213333333,False,True,True,False,False,False,False,False,False,False
dio_114i,2,L_FOLGEKONTAKT3|VARIANTE_M_folgekontakt4,2,dio_text_1q6p -> dio_text_lzxisi,0.226666667,0.213333333,-0.013333334,0.226666667,0.213333333,False,True,True,False,False,False,False,False,False,False
dio_1ytc,1,L_FOLGEKONTAKT3,1,dio_text_1q6p,0.226666667,0.226666667,0.0,0.226666667,0.226666667,False,False,True,False,False,False,False,False,False,False
