run,tick,symbol_family,inner_state,previous_inner_state,inner_transition,stability_kind,contact_quality,contact_state,action,reward,best_reward_training,passive_only
133,1,dio_1bwb,inner_carried,-,timeline_start,start_state,observed_potential,observed_potential_contact,WAIT,0.0,0.911881,1
133,2,dio_1d1z,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.309621,1
133,3,dio_10dk,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.196209,1
133,4,dio_1d3r,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.84134,1
133,5,dio_0n9e,inner_carried,inner_open_observation,inner_open_observation_to_inner_carried,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,1.389869,1
133,6,dio_0ofo,inner_carried,inner_carried,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,1.453,1
133,7,dio_0ps1,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,1.381921,1
133,8,dio_0bmh,inner_carried,inner_open_observation,inner_open_observation_to_inner_carried,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.785478,1
133,9,dio_040y,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.275596,1
133,10,dio_1f9y,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.078897,1
133,11,dio_14xc,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.094628,1
133,12,dio_1mym,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.175028,1
133,13,dio_1k7y,inner_unfinished,inner_open_observation,inner_open_observation_to_inner_unfinished,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.695042,1
133,14,dio_04z7,inner_carried,inner_unfinished,inner_unfinished_to_inner_carried,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,1.08676,1
133,15,dio_0akd,inner_carried,inner_carried,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.776339,1
133,16,dio_0fzl,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.385437,1
133,17,dio_13u8,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.351496,1
133,18,dio_0120,inner_carried,inner_open_observation,inner_open_observation_to_inner_carried,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.333944,1
134,1,dio_1bwb,inner_carried,-,timeline_start,start_state,observed_potential,observed_potential_contact,WAIT,0.0,0.911881,1
134,2,dio_1d1z,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.309621,1
134,3,dio_10dk,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.196209,1
134,4,dio_1d3r,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.84134,1
134,5,dio_0n9e,inner_carried,inner_open_observation,inner_open_observation_to_inner_carried,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,1.389869,1
134,6,dio_0ofo,inner_carried,inner_carried,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,1.453,1
134,7,dio_0ps1,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,1.381921,1
134,8,dio_0bmh,inner_carried,inner_open_observation,inner_open_observation_to_inner_carried,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.785478,1
134,9,dio_040y,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.275596,1
134,10,dio_1f9y,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.078897,1
134,11,dio_14xc,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.094628,1
134,12,dio_1mym,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.175028,1
134,13,dio_1k7y,inner_unfinished,inner_open_observation,inner_open_observation_to_inner_unfinished,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.695042,1
134,14,dio_04z7,inner_carried,inner_unfinished,inner_unfinished_to_inner_carried,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,1.08676,1
134,15,dio_0akd,inner_carried,inner_carried,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.776339,1
134,16,dio_0fzl,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.385437,1
134,17,dio_13u8,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.351496,1
134,18,dio_0120,inner_carried,inner_open_observation,inner_open_observation_to_inner_carried,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.333944,1
135,1,dio_1bwb,inner_carried,-,timeline_start,start_state,observed_potential,observed_potential_contact,WAIT,0.0,0.911881,1
135,2,dio_1d1z,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.309621,1
135,3,dio_10dk,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.196209,1
135,4,dio_1d3r,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.84134,1
135,5,dio_0n9e,inner_carried,inner_open_observation,inner_open_observation_to_inner_carried,transition_state,positive_real_contact,executed_positive_contact,LONG,1.389869,1.389869,1
135,10,dio_1f9y,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.078897,1
135,11,dio_14xc,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.094628,1
135,12,dio_1mym,inner_open_observation,inner_open_observation,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.175028,1
135,13,dio_1k7y,inner_unfinished,inner_open_observation,inner_open_observation_to_inner_unfinished,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.695042,1
135,14,dio_04z7,inner_carried,inner_unfinished,inner_unfinished_to_inner_carried,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,1.08676,1
