inner_state,contact_state,count,reward_sum,best_reward_sum,avg_reward,families,actions
inner_carried,executed_positive_contact,12,13.26362,13.26362,1.105302,"dio_0arw,dio_0t0v,dio_1u7v","LONG,SHORT"
inner_cautious,observed_potential_contact,4,0.0,0.569932,0.0,dio_1vpi,WAIT
inner_open_observation,observed_potential_contact,4,0.0,0.37806,0.0,dio_14xc,WAIT
inner_unfinished,held_active_impulse,3,0.0,1.887438,0.0,dio_00qb,WAIT
inner_unfinished,observed_potential_contact,1,0.0,0.629146,0.0,dio_00qb,WAIT
