variant_reife_state,count,event_reward_sum,episode_count,avg_transfer_similarity,family_actions
variant_local_wait_context,3,0.0,5,0.0,"dio_0lyu:WAIT,dio_19i4:WAIT,dio_19p6:WAIT"
variant_self_burden_action_trace,1,-2.0,2,0.0,dio_19i4:SHORT
variant_self_carried_action_trace,4,9.0,9,0.912390857,"dio_0qrm:SHORT,dio_0u8f:LONG,dio_0x52:SHORT,dio_1h5y:LONG"
