family,classification,count,symbol_count,action_count,trade_action_count,observation_count,trade_observation_count,reward_sum,observation_reward_sum,trust_sum,caution_sum,net_pressure,max_trust,max_caution,new_since_previous
dio_1lam,executed_positive_trace,13,1,15,13,2,2,15.723227,1.169496,1.0,0.0,1.0,1.0,0.0,False
dio_0byw,executed_positive_trace,10,1,12,10,1,1,14.311844,0.889217,1.0,0.0,1.0,1.0,0.0,False
dio_0t45,executed_positive_trace,9,1,13,9,4,4,13.024076,3.256019,1.0,0.0,1.0,1.0,0.0,False
dio_0n4c,executed_positive_trace,8,1,10,8,2,2,8.896343,1.322543,0.75114,0.0,0.75114,0.75114,0.0,False
dio_14mj,executed_positive_trace,12,1,15,12,3,3,8.502778,1.077817,0.617944,0.0,0.617944,0.617944,0.0,False
dio_0nmi,executed_positive_trace,9,1,14,9,5,5,8.000249,1.087572,0.808828,0.0,0.808828,0.808828,0.0,False
dio_1ytj,executed_positive_trace,7,1,11,7,4,4,6.818922,2.761771,0.569964,0.0,0.569964,0.569964,0.0,False
dio_1cpq,executed_positive_trace,7,1,11,7,4,4,6.719459,2.325967,0.598495,0.0,0.598495,0.598495,0.0,False
dio_1d6j,executed_positive_trace,8,1,11,8,3,3,6.655302,1.544104,0.563529,0.0,0.563529,0.563529,0.0,False
dio_1k0r,executed_positive_trace,5,1,7,5,2,2,6.619979,1.501837,0.670084,0.0,0.670084,0.670084,0.0,False
dio_0qb3,executed_positive_trace,16,1,23,16,7,7,6.346861,0.812839,0.459498,0.0,0.459498,0.459498,0.0,False
dio_0xgj,executed_positive_trace,12,1,24,12,12,12,6.177321,5.054172,0.325496,0.0,0.325496,0.325496,0.0,False
dio_14wi,executed_positive_trace,8,1,11,8,3,3,5.979684,1.213921,0.527682,0.0,0.527682,0.527682,0.0,False
dio_09jn,executed_positive_trace,20,1,25,20,5,5,5.554353,0.704322,0.286417,0.0,0.286417,0.286417,0.0,False
dio_1iuo,executed_positive_trace,4,1,6,4,2,2,5.507875,1.622538,0.571568,0.0,0.571568,0.571568,0.0,False
dio_0v36,executed_positive_trace,5,1,7,5,2,2,5.423193,1.8,0.512982,0.0,0.512982,0.512982,0.0,False
dio_0x52,executed_positive_trace,8,1,11,8,3,3,5.310439,1.078059,0.468624,0.0,0.468624,0.468624,0.0,False
dio_1ioc,executed_positive_trace,4,1,6,4,2,2,5.176542,1.502867,0.539164,0.0,0.539164,0.539164,0.0,False
dio_1r0h,executed_positive_trace,4,1,6,4,2,2,5.07734,1.474067,0.528832,0.0,0.528832,0.528832,0.0,False
dio_0b0d,executed_positive_trace,4,1,6,4,2,2,4.863827,1.281412,0.518315,0.0,0.518315,0.518315,0.0,False
dio_1vm7,executed_positive_trace,5,1,7,5,2,2,4.857839,1.066355,0.494881,0.0,0.494881,0.494881,0.0,False
dio_1fqy,executed_positive_trace,4,1,6,4,2,2,4.820391,1.399468,0.502069,0.0,0.502069,0.502069,0.0,False
dio_121e,executed_positive_trace,4,1,6,4,2,2,4.715739,1.369085,0.491169,0.0,0.491169,0.491169,0.0,False
dio_1tik,executed_positive_trace,12,1,16,12,4,4,4.640949,0.818991,0.340088,0.0,0.340088,0.340088,0.0,False
dio_1nlc,executed_positive_trace,5,1,7,5,2,2,4.60067,1.58241,0.417976,0.0,0.417976,0.417976,0.0,False
dio_1r0b,executed_positive_trace,6,1,9,6,3,3,4.555612,1.322597,0.432407,0.0,0.432407,0.432407,0.0,False
dio_0a54,executed_positive_trace,10,1,14,10,4,4,4.508801,0.870131,0.372891,0.0,0.372891,0.372891,0.0,False
dio_0pw5,executed_positive_trace,4,1,6,4,2,2,4.196717,1.218402,0.43711,0.0,0.43711,0.43711,0.0,False
dio_0f4h,executed_positive_trace,5,1,8,5,3,3,4.166193,1.103532,0.452008,0.0,0.452008,0.452008,0.0,False
dio_1vpi,executed_positive_trace,4,1,6,4,2,2,4.026164,1.168886,0.419346,0.0,0.419346,0.419346,0.0,False
dio_1mx6,executed_positive_trace,4,1,6,4,2,2,3.987788,1.157745,0.415349,0.0,0.415349,0.415349,0.0,False
dio_1dmh,executed_positive_trace,4,1,6,4,2,2,3.844258,1.116075,0.4004,0.0,0.4004,0.4004,0.0,False
dio_1uyk,executed_positive_trace,4,1,6,4,2,2,3.828299,1.111442,0.398738,0.0,0.398738,0.398738,0.0,False
