symbol_family,passive_conflict_state,conflict_reward_sum,positive_reward_sum,observed_best_reward_sum,inner_conflict_sentence,world_path,passive_only
dio_0t0v,conflict_reorganized_to_carried,-1.236659,4.146636,2.073318,"dio_0t0v: Diese Familie hatte Konflikt, wurde spaeter aber getragen; Konflikt=-1.236659, getragen=4.146636.",probe18_first:inner_carried/negative_real_contact -> probe18_repeat1:inner_carried/observed_potential -> probe18_repeat2:inner_carried/positive_real_contact,1
dio_1vpi,conflict_to_observation,-1.712415,0.0,0.854898,"dio_1vpi: Diese Familie blieb nach Konflikt vorsichtig/beobachtend; Konflikt=-1.712415, beobachtetes Potenzial=0.854898.",probe18_first:inner_cautious/negative_real_contact -> probe18_repeat1:inner_cautious/observed_potential -> probe18_repeat1:inner_cautious/negative_real_contact -> probe18_repeat2:inner_cautious/observed_potential,1
