run,tick,symbol,family,action,outcome_event,reward,readiness,observation_signal,prior_family_observation_waits,memory_action_count,memory_action_trust,memory_observation_count,memory_observation_reward_sum,sehen_form_flow,sehen_form_stability,hoeren_energy_tone,fuehlen_mcm_coherence,fuehlen_mcm_tension
3,16,dio_16inosw,dio_16in,LONG,TP,1.0,0.071407,0.649157,2,2,0.3276,8,8.0,1.0,1.0,0.111291,0.968838,0.478488
4,5,dio_16inosw,dio_16in,LONG,TP,1.0,0.101722,0.649157,2,2,0.3276,8,8.0,0.997179,1.0,0.076274,0.978643,0.46821
5,4,dio_1bgr4af,dio_1bgr,LONG,TP,1.0,0.063097,0.57073,3,4,0.5478782400000001,7,7.0,0.963007,1.0,0.008462,0.997631,0.426223
6,4,dio_1bgr4af,dio_1bgr,LONG,TP,1.0,0.093381,0.57073,3,4,0.5478782400000001,7,7.0,0.963007,1.0,0.008462,0.997631,0.426223
7,4,dio_1bgr4af,dio_1bgr,LONG,TP,1.0,0.174273,0.57073,3,4,0.5478782400000001,7,7.0,0.963007,1.0,0.008462,0.997631,0.426223
8,4,dio_1bgr4af,dio_1bgr,LONG,TP,1.0,0.293298,0.57073,3,4,0.5478782400000001,7,7.0,0.963007,1.0,0.008462,0.997631,0.426223
8,15,dio_018gmf9,dio_018g,LONG,TP,1.0,0.063942,0.567783,5,5,0.6292601568,7,7.0,1.0,1.0,0.11042,0.969082,0.474627
