maturation_state,family_count,row_count,reward_sum,event_reward_sum,families,bindings,outcomes
maturation_stable_carried,4,12,12.0,12.0,"dio_02qu,dio_0arw,dio_1u7v,dio_1vpi",multisensory_carried_contact,TP
maturation_quiet_observation,1,3,0.0,0.0,dio_14xc,multisensory_quiet_hold,NO_TRADE
