run,tick,timestamp_ms,symbol,symbol_family,action,raw_action,outcome_event,reward,event_reward,contact_state,inner_state,memory_trust,memory_caution,memory_trust_minus_caution,memory_action_count,consequence_effect,sehen_form_flow,sehen_form_stability,hoeren_energy_tone,fuehlen_mcm_coherence,fuehlen_mcm_tension,inner_sentence,source_file,passive_only
159,1,1767480300000000,dio_0cgnxn5,dio_0cgn,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,2,no_trade_or_observation,0.05444,1.0,0.055143,0.98456,0.063445,dio_0cgn: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_159\episodes.csv,1
159,2,1767480600000000,dio_0x52rrz,dio_0x52,SHORT,SHORT,SL,-1.0,-1.0,real_contact_burdened,inner_consequence_conflicted,0.346594,0.2604,0.086194,10,sl_caution_visible_but_not_dominant,0.146987,1.0,0.133722,0.962558,0.130063,"dio_0x52: DIO sieht eine widerspruechliche Konsequenzspur; Kontakt=real_contact_burdened, Aktion=SHORT, Event=SL, trust=0.346594, caution=0.260400.",debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_159\episodes.csv,1
159,7,1767482100000000,dio_15ms14o,dio_15ms,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,4,no_trade_or_observation,0.302961,0.0,-0.02905,0.391866,0.274687,dio_15ms: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_159\episodes.csv,1
159,8,1767482400000000,dio_0izwfm7,dio_0izw,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,4,no_trade_or_observation,-0.140128,-1.0,0.056456,-0.215808,0.166479,dio_0izw: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_159\episodes.csv,1
159,9,1767482700000000,dio_07rfl5q,dio_07rf,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,4,no_trade_or_observation,-0.639125,0.0,0.132211,0.362981,0.387016,dio_07rf: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_159\episodes.csv,1
159,10,1767483000000000,dio_1pfo7u4,dio_1pfo,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,2,no_trade_or_observation,-0.958963,1.0,-0.011519,0.996775,0.431734,dio_1pfo: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_159\episodes.csv,1
159,11,1767483300000000,dio_1mx2l9m,dio_1mx2,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,2,no_trade_or_observation,-0.823245,1.0,-0.122876,0.965595,0.441462,dio_1mx2: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_159\episodes.csv,1
159,12,1767483600000000,dio_173sbgr,dio_173s,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,3,no_trade_or_observation,-0.47548,0.0,-0.190469,0.346669,0.381753,dio_173s: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_159\episodes.csv,1
159,13,1767483900000000,dio_1g18jad,dio_1g18,SHORT,SHORT,TP,1.0,1.0,real_contact_carried,inner_consequence_carried,0.608826,0.0,0.608826,11,tp_trust_visible,0.005433,-1.0,-0.12741,-0.235675,0.129537,"dio_1g18: DIO sieht eine innen getragene Konsequenzspur; Kontakt=real_contact_carried, Aktion=SHORT, Event=TP, trust=0.608826, caution=0.000000.",debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_159\episodes.csv,1
159,18,1767485400000000,dio_0gmg3at,dio_0gmg,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,3,no_trade_or_observation,-0.758808,0.0,-0.206849,0.342082,0.543195,dio_0gmg: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_159\episodes.csv,1
160,1,1767480300000000,dio_0cgnxn5,dio_0cgn,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,2,no_trade_or_observation,0.05444,1.0,0.055143,0.98456,0.063445,dio_0cgn: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_160\episodes.csv,1
160,2,1767480600000000,dio_0x52rrz,dio_0x52,SHORT,SHORT,SL,-1.0,-1.0,real_contact_burdened,inner_consequence_conflicted,0.346594,0.2604,0.086194,10,sl_caution_visible_but_not_dominant,0.146987,1.0,0.133722,0.962558,0.130063,"dio_0x52: DIO sieht eine widerspruechliche Konsequenzspur; Kontakt=real_contact_burdened, Aktion=SHORT, Event=SL, trust=0.346594, caution=0.260400.",debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_160\episodes.csv,1
160,7,1767482100000000,dio_15ms14o,dio_15ms,WAIT,SHORT,NO_TRADE,0.0,0.0,held_impulse_without_action,inner_consequence_quiet,0.0,0.0,0.0,4,no_trade_or_observation,0.302961,0.0,-0.02905,0.391866,0.274687,dio_15ms: DIO sieht eine ruhige Beobachtungsspur; Kontakt=held_impulse_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_160\episodes.csv,1
160,8,1767482400000000,dio_0izwfm7,dio_0izw,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,4,no_trade_or_observation,-0.140128,-1.0,0.056456,-0.215808,0.166479,dio_0izw: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_160\episodes.csv,1
160,9,1767482700000000,dio_07rfl5q,dio_07rf,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,4,no_trade_or_observation,-0.639125,0.0,0.132211,0.362981,0.387016,dio_07rf: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_160\episodes.csv,1
160,10,1767483000000000,dio_1pfo7u4,dio_1pfo,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,2,no_trade_or_observation,-0.958963,1.0,-0.011519,0.996775,0.431734,dio_1pfo: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_160\episodes.csv,1
160,11,1767483300000000,dio_1mx2l9m,dio_1mx2,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,2,no_trade_or_observation,-0.823245,1.0,-0.122876,0.965595,0.441462,dio_1mx2: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_160\episodes.csv,1
160,12,1767483600000000,dio_173sbgr,dio_173s,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,3,no_trade_or_observation,-0.47548,0.0,-0.190469,0.346669,0.381753,dio_173s: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_160\episodes.csv,1
160,13,1767483900000000,dio_1g18jad,dio_1g18,SHORT,SHORT,TP,1.0,1.0,real_contact_carried,inner_consequence_carried,0.608826,0.0,0.608826,11,tp_trust_visible,0.005433,-1.0,-0.12741,-0.235675,0.129537,"dio_1g18: DIO sieht eine innen getragene Konsequenzspur; Kontakt=real_contact_carried, Aktion=SHORT, Event=TP, trust=0.608826, caution=0.000000.",debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_160\episodes.csv,1
160,18,1767485400000000,dio_0gmg3at,dio_0gmg,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,3,no_trade_or_observation,-0.758808,0.0,-0.206849,0.342082,0.543195,dio_0gmg: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_160\episodes.csv,1
161,1,1767480300000000,dio_0cgnxn5,dio_0cgn,LONG,LONG,TP,1.0,1.0,real_contact_carried,inner_consequence_carried,0.212653,0.0,0.212653,3,tp_trust_visible,0.05444,1.0,0.055143,0.98456,0.063445,"dio_0cgn: DIO sieht eine innen getragene Konsequenzspur; Kontakt=real_contact_carried, Aktion=LONG, Event=TP, trust=0.212653, caution=0.000000.",debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_161\episodes.csv,1
161,6,1767481800000000,dio_0hd3xl3,dio_0hd3,SHORT,SHORT,TP,1.0,1.0,real_contact_carried,inner_consequence_carried,0.930152,0.0,0.930152,9,tp_trust_visible,0.749283,1.0,0.099036,0.97227,0.37624,"dio_0hd3: DIO sieht eine innen getragene Konsequenzspur; Kontakt=real_contact_carried, Aktion=SHORT, Event=TP, trust=0.930152, caution=0.000000.",debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_161\episodes.csv,1
161,11,1767483300000000,dio_1mn2zkn,dio_1mn2,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,1,no_trade_or_observation,-0.823245,1.0,-0.122876,0.965595,0.441462,dio_1mn2: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_161\episodes.csv,1
161,12,1767483600000000,dio_173sbgr,dio_173s,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,3,no_trade_or_observation,-0.47548,0.0,-0.190469,0.346669,0.381753,dio_173s: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_161\episodes.csv,1
161,13,1767483900000000,dio_1g18jad,dio_1g18,SHORT,SHORT,TP,1.0,1.0,real_contact_carried,inner_consequence_carried,0.608826,0.0,0.608826,11,tp_trust_visible,0.005433,-1.0,-0.12741,-0.235675,0.129537,"dio_1g18: DIO sieht eine innen getragene Konsequenzspur; Kontakt=real_contact_carried, Aktion=SHORT, Event=TP, trust=0.608826, caution=0.000000.",debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_161\episodes.csv,1
161,18,1767485400000000,dio_0gmg3at,dio_0gmg,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,3,no_trade_or_observation,-0.758808,0.0,-0.206849,0.342082,0.543195,dio_0gmg: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_12n_transfer_probe15\dio_mini_lauf_161\episodes.csv,1
