followup_state,count,families,sources,wait_present_count,action_present_count
reorganization_family_not_seen,2,"dio_19i4,dio_1k0r","probe16_f3,probe7_f3",0,0
reorganization_quiet_wait_continues,2,"dio_19i4,dio_1k0r","probe16_f3,probe7_f3",2,0
