stability_label,family_count,row_count,reward_sum,event_reward_sum,families,binding_states
multisensory_stable_repeat,5,11,9.0,9.0,"dio_00qb,dio_02qu,dio_0arw,dio_0t0v,dio_1u7v","multisensory_carried_contact,multisensory_quiet_hold"
multisensory_mostly_stable,1,3,0.0,0.0,dio_14xc,multisensory_quiet_hold
multisensory_mixed_repeat,1,3,1.0,1.0,dio_1vpi,multisensory_quiet_hold
