symbol_family,maturation_state,count,runs,first_moment_state,last_moment_state,moment_path,binding_path,action_path,reward_sum,event_reward_sum,maturation_reward_sum,timeline_sentence,passive_only
dio_02qu,maturation_stable_carried,3,"156,157,158",moment_carried,moment_carried,moment_carried -> moment_carried -> moment_carried,multisensory_carried_contact -> multisensory_carried_contact -> multisensory_carried_contact,LONG -> LONG -> LONG,3.0,3.0,3.0,dio_02qu: Reife=maturation_stable_carried; Verlauf=moment_carried -> moment_carried -> moment_carried; reward_sum=3.000000.,1
dio_0arw,maturation_stable_carried,1,158,moment_carried,moment_carried,moment_carried,multisensory_carried_contact,LONG,1.0,1.0,1.0,dio_0arw: Reife=maturation_stable_carried; Verlauf=moment_carried; reward_sum=1.000000.,1
dio_0x1o,maturation_stable_carried,1,157,moment_carried,moment_carried,moment_carried,multisensory_carried_contact,LONG,1.0,1.0,1.0,dio_0x1o: Reife=maturation_stable_carried; Verlauf=moment_carried; reward_sum=1.000000.,1
dio_1vpi,maturation_stable_carried,3,"156,157,158",moment_carried,moment_carried,moment_carried -> moment_carried -> moment_carried,multisensory_carried_contact -> multisensory_carried_contact -> multisensory_carried_contact,SHORT -> SHORT -> SHORT,3.0,3.0,3.0,dio_1vpi: Reife=maturation_stable_carried; Verlauf=moment_carried -> moment_carried -> moment_carried; reward_sum=3.000000.,1
dio_16yc,maturation_mixed_recurrence,2,"156,157",moment_quiet_observed,moment_carried,moment_quiet_observed -> moment_carried,multisensory_quiet_observation -> multisensory_carried_contact,WAIT -> SHORT,1.0,1.0,1.0,dio_16yc: Reife=maturation_mixed_recurrence; Verlauf=moment_quiet_observed -> moment_carried; reward_sum=1.000000.,1
dio_1txv,maturation_mixed_recurrence,3,"156,157,158",moment_quiet_observed,moment_carried,moment_quiet_observed -> moment_quiet_observed -> moment_carried,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_carried_contact,WAIT -> WAIT -> SHORT,1.0,1.0,1.0,dio_1txv: Reife=maturation_mixed_recurrence; Verlauf=moment_quiet_observed -> moment_quiet_observed -> moment_carried; reward_sum=1.000000.,1
dio_0igh,maturation_quiet_observation,1,156,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,0.0,0.0,0.0,dio_0igh: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed; reward_sum=0.000000.,1
dio_143d,maturation_quiet_observation,1,156,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,0.0,0.0,0.0,dio_143d: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed; reward_sum=0.000000.,1
dio_14xc,maturation_quiet_observation,1,158,moment_quiet_held,moment_quiet_held,moment_quiet_held,multisensory_quiet_hold,WAIT,0.0,0.0,0.0,dio_14xc: Reife=maturation_quiet_observation; Verlauf=moment_quiet_held; reward_sum=0.000000.,1
dio_1g2t,maturation_quiet_observation,1,156,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,0.0,0.0,0.0,dio_1g2t: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed; reward_sum=0.000000.,1
dio_1qwp,maturation_quiet_observation,1,156,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,0.0,0.0,0.0,dio_1qwp: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed; reward_sum=0.000000.,1
dio_0fiy,maturation_negative_open,1,156,moment_open,moment_open,moment_open,multisensory_burdened_memory,LONG,-1.0,-1.0,-1.0,dio_0fiy: Reife=maturation_negative_open; Verlauf=moment_open; reward_sum=-1.000000.,1
