run,tick,timestamp_ms,symbol_family,maturation_state,moment_state,binding_state,inner_state,contact_state,action,outcome_event,sight_state,hearing_state,feeling_state,reward,event_reward,maturation_reward_sum,timeline_sentence,passive_only
156,1,1767600300000000,dio_1txv,maturation_mixed_recurrence,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,0.0,0.0,1.0,dio_1txv: run=156 tick=1; moment_quiet_observed; Reife=maturation_mixed_recurrence; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
156,2,1767600600000000,dio_16yc,maturation_mixed_recurrence,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_helle_spannung,fuehlen_inkoharent,0.0,0.0,1.0,dio_16yc: run=156 tick=2; moment_quiet_observed; Reife=maturation_mixed_recurrence; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
156,3,1767600900000000,dio_1g2t,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_teilform,hoeren_helle_spannung,fuehlen_hohe_spannung,0.0,0.0,0.0,dio_1g2t: run=156 tick=3; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
156,4,1767601200000000,dio_0fiy,maturation_negative_open,moment_open,multisensory_burdened_memory,inner_consequence_burdened,real_contact_burdened,LONG,SL,sehen_bewegte_form,hoeren_helle_spannung,fuehlen_hohe_spannung,-1.0,-1.0,-1.0,dio_0fiy: run=156 tick=4; moment_open; Reife=maturation_negative_open; Bindung=multisensory_burdened_memory; Aktion=LONG; reward=-1.000000.,1
156,9,1767602700000000,dio_0igh,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_0igh: run=156 tick=9; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
156,10,1767603000000000,dio_1qwp,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_1qwp: run=156 tick=10; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
156,11,1767603300000000,dio_143d,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_143d: run=156 tick=11; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
156,12,1767603600000000,dio_1vpi,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,1.0,1.0,3.0,dio_1vpi: run=156 tick=12; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
156,17,1767605100000000,dio_02qu,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,1.0,1.0,3.0,dio_02qu: run=156 tick=17; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
157,1,1767600300000000,dio_1txv,maturation_mixed_recurrence,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,0.0,0.0,1.0,dio_1txv: run=157 tick=1; moment_quiet_observed; Reife=maturation_mixed_recurrence; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
157,2,1767600600000000,dio_16yc,maturation_mixed_recurrence,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_stabile_form,hoeren_helle_spannung,fuehlen_inkoharent,1.0,1.0,1.0,dio_16yc: run=157 tick=2; moment_carried; Reife=maturation_mixed_recurrence; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
