run,tick,symbol,family,action,outcome_event,reward,readiness,observation_signal,prior_family_observation_waits,memory_action_count,memory_action_trust,memory_observation_count,memory_observation_reward_sum,sehen_form_flow,sehen_form_stability,hoeren_energy_tone,fuehlen_mcm_coherence,fuehlen_mcm_tension
9,2,dio_161rnmk,dio_161r,LONG,TP,1.0,0.066637,0.59498,0,1,0.18,8,8.0,0.487038,1.0,0.028333,0.992067,0.22388
9,15,dio_018gmf9,dio_018g,LONG,TP,1.0,0.094108,0.567783,0,5,0.6292601568,7,7.0,1.0,1.0,0.11042,0.969082,0.474627
10,1,dio_02jf6qj,dio_02jf,LONG,TP,1.0,0.062266,0.555092,1,3,0.44863200000000003,9,9.0,0.254588,1.0,0.045561,0.987243,0.207531
10,15,dio_018gmf9,dio_018g,LONG,TP,1.0,0.174917,0.567783,0,5,0.6292601568,7,7.0,1.0,1.0,0.11042,0.969082,0.474627
11,1,dio_02jf6qj,dio_02jf,LONG,TP,1.0,0.092728,0.555092,1,3,0.44863200000000003,9,9.0,0.254588,1.0,0.045561,0.987243,0.207531
11,15,dio_018gmf9,dio_018g,LONG,TP,1.0,0.294007,0.567783,0,5,0.6292601568,7,7.0,1.0,1.0,0.11042,0.969082,0.474627
12,1,dio_02jf6qj,dio_02jf,LONG,TP,1.0,0.173881,0.555092,1,3,0.44863200000000003,9,9.0,0.254588,1.0,0.045561,0.987243,0.207531
12,15,dio_018gmf9,dio_018g,LONG,TP,1.0,0.441579,0.567783,0,5,0.6292601568,7,7.0,1.0,1.0,0.11042,0.969082,0.474627
