maturation_state,family_count,row_count,reward_sum,event_reward_sum,families,bindings,outcomes
maturation_stable_carried,3,5,5.0,5.0,"dio_0ofo,dio_0ps1,dio_1k7y",multisensory_carried_contact,TP
maturation_mixed_recurrence,2,5,2.0,2.0,"dio_1c6b,dio_1d1z",multisensory_quiet_observation,NO_TRADE
maturation_quiet_observation,9,11,0.0,0.0,"dio_0120,dio_01vz,dio_040y,dio_10dk,dio_143d,dio_14xc,dio_1f9y,dio_1m4n,dio_1mym","multisensory_quiet_hold,multisensory_quiet_observation",NO_TRADE
maturation_negative_open,1,1,-1.0,-1.0,dio_1d3r,multisensory_burdened_memory,SL
