family,passive_repeat_state,run_count,seen_runs,executed_runs,seen_count,executed_count,observed_potential_count,held_pressure_count,reward_sum,best_reward_sum,actions,states,first_run,last_run,passive_sentence
dio_0arw,repeat_partly_carried,4,3,1,3,1,2,0,1.384854,4.154562,LONG:1|WAIT:2,executed_aligned:1|observed_trade_potential:2,141,144,dio_0arw: wurde in einem Teil der Wiederholung getragen.
dio_0ems,repeat_partly_carried,4,3,1,3,1,2,0,1.304587,3.913761,LONG:1|WAIT:2,executed_aligned:1|observed_trade_potential:2,141,143,dio_0ems: wurde in einem Teil der Wiederholung getragen.
dio_1u7v,repeat_partly_carried,4,4,1,4,1,3,0,0.894392,3.577568,SHORT:1|WAIT:3,executed_aligned:1|observed_trade_potential:3,141,144,dio_1u7v: wurde in einem Teil der Wiederholung getragen.
dio_0bmh,repeat_partly_carried,4,2,1,2,1,1,0,0.817371,1.634742,LONG:1|WAIT:1,executed_aligned:1|observed_trade_potential:1,141,142,dio_0bmh: wurde in einem Teil der Wiederholung getragen.
dio_0120,repeat_partly_carried,4,3,1,3,1,2,0,0.333693,1.001079,LONG:1|WAIT:2,executed_aligned:1|observed_trade_potential:2,141,144,dio_0120: wurde in einem Teil der Wiederholung getragen.
dio_02qu,repeat_observed_potential,4,3,0,3,0,3,0,0.0,1.10232,WAIT:3,observed_trade_potential:3,141,144,dio_02qu: kehrt als beobachtetes Handelspotenzial wieder.
dio_0fiy,repeat_observed_potential,4,3,0,3,0,3,0,0.0,2.272221,WAIT:3,observed_trade_potential:3,141,143,dio_0fiy: kehrt als beobachtetes Handelspotenzial wieder.
dio_14xc,repeat_observed_potential,4,3,0,3,0,3,0,0.0,0.283545,WAIT:3,observed_trade_potential:3,141,144,dio_14xc: kehrt als beobachtetes Handelspotenzial wieder.
dio_16yc,repeat_observed_potential,4,3,0,3,0,3,0,0.0,0.976512,WAIT:3,observed_trade_potential:3,141,143,dio_16yc: kehrt als beobachtetes Handelspotenzial wieder.
dio_1g2t,repeat_observed_potential,4,3,0,3,0,3,0,0.0,0.439353,WAIT:3,observed_trade_potential:3,141,143,dio_1g2t: kehrt als beobachtetes Handelspotenzial wieder.
dio_0x1o,repeat_observed_potential,4,2,0,2,0,2,0,0.0,2.728016,WAIT:2,observed_trade_potential:2,141,142,dio_0x1o: kehrt als beobachtetes Handelspotenzial wieder.
dio_1qwp,repeat_observed_potential,4,2,0,2,0,2,0,0.0,0.157514,WAIT:2,observed_trade_potential:2,141,143,dio_1qwp: kehrt als beobachtetes Handelspotenzial wieder.
dio_00qb,repeat_observed_potential,4,1,0,1,0,1,0,0.0,0.629146,WAIT:1,observed_trade_potential:1,142,142,dio_00qb: kehrt als beobachtetes Handelspotenzial wieder.
dio_0igh,repeat_observed_potential,4,1,0,1,0,1,0,0.0,0.324337,WAIT:1,observed_trade_potential:1,141,141,dio_0igh: kehrt als beobachtetes Handelspotenzial wieder.
dio_1vpi,repeat_executed_unresolved,4,3,3,3,3,0,0,-1.027449,0.427449,SHORT:3,executed_misaligned:3,141,144,dio_1vpi: bleibt in der Wiederholung offen.
dio_0t0v,repeat_executed_unresolved,4,1,1,1,1,0,0,-1.236659,1.036659,SHORT:1,executed_misaligned:1,142,142,dio_0t0v: bleibt in der Wiederholung offen.
