observed_possible_action,source_count,sources,family_count,families,trace_count,potential_reward_sum,avg_observation_learning_pressure,passive_only
SHORT,2,"probe15,probe16",15,"dio_06bd,dio_0cgn,dio_0fa9,dio_0ojr,dio_0rb2,dio_0vc8,dio_10kx,dio_173s,dio_1f4v,dio_1g7l,dio_1jo7,dio_1k0r,dio_1q9b,dio_1t73,dio_1w4m",45,40.411029,0.061791133,1
LONG,3,"probe15,probe16,probe18",12,"dio_04zi,dio_0cgn,dio_0gmg,dio_0x52,dio_14xc,dio_199c,dio_1guc,dio_1mx2,dio_1pfo,dio_1qig,dio_1vjg,dio_1w4m",36,31.073247,0.062833944,1
