left_family,right_family,left_episodes,right_episodes,left_reife_state,right_reife_state,reife_state_relation,left_neuro_tone,right_neuro_tone,neuro_tone_relation,left_action,right_action,action_relation,sense_distance,sense_similarity,mcm_distance,mcm_similarity,hearing_distance,hearing_similarity,temporal_distance,temporal_similarity,neuro_distance,neuro_similarity,reflection_distance,reflection_similarity,reife_distance,reife_similarity,meaning_distance,meaning_similarity,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,neighbor_state,dio_neighbor_sentence
dio_0nwm,dio_0x0x,4,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.00491,0.999807,0.003384,0.999908,0.004919,0.999806,0.0,1.0,0.000461,0.999998,0.000188,1.0,0.0,1.0,0.002593,0.999946,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0nwm+dio_0x0x: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_08l0,dio_1d0v,4,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.012784,0.998694,0.007178,0.999588,0.007676,0.999529,0.0,1.0,0.001134,0.99999,0.001009,0.999992,0.0,1.0,0.005808,0.99973,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_08l0+dio_1d0v: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1935,dio_0hd3,6,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.008833,0.999376,0.004018,0.999871,0.027811,0.99385,0.0,1.0,0.000303,0.999999,0.000108,1.0,0.0,1.0,0.006392,0.999673,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1935+dio_0hd3: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1yvr,dio_1kg8,4,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.010596,0.999103,0.010597,0.999102,0.012385,0.998774,0.0,1.0,0.00278,0.999938,0.000894,0.999994,0.0,1.0,0.006821,0.999628,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1yvr+dio_1kg8: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0u8f,dio_0p55,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.017899,0.997444,0.006791,0.999631,0.027435,0.994014,0.0,1.0,0.000153,1.0,0.000812,0.999995,0.0,1.0,0.009168,0.999328,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0u8f+dio_0p55: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0wsp,dio_13p1,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.012715,0.998708,0.012771,0.998697,0.022429,0.995991,0.0,1.0,0.004422,0.999844,0.001423,0.999984,0.0,1.0,0.009286,0.999311,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0wsp+dio_13p1: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0xo2,dio_1kg8,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.014607,0.998296,0.008672,0.999399,0.031548,0.992101,0.0,1.0,0.002201,0.999961,0.001057,0.999991,0.0,1.0,0.009592,0.999264,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0xo2+dio_1kg8: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0brc,dio_1d0v,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.014843,0.99824,0.010516,0.999116,0.029058,0.99329,0.0,1.0,0.003076,0.999924,0.00135,0.999985,0.0,1.0,0.009902,0.999216,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0brc+dio_1d0v: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0nwm,dio_0ic5,4,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.017955,0.997428,0.006501,0.999662,0.033146,0.991287,0.0,1.0,0.000713,0.999996,0.001182,0.999989,0.0,1.0,0.009911,0.999215,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0nwm+dio_0ic5: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0ic5,dio_0x0x,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.016367,0.997861,0.005418,0.999765,0.038066,0.988541,0.0,1.0,0.001173,0.999989,0.00137,0.999985,0.0,1.0,0.009962,0.999207,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0ic5+dio_0x0x: gleiche passive Bedeutungsinsel, ohne Handlung."
