evidence_state,family_count,families,validation_source_count_sum,withheld_best_trade_sum,passive_only,influences_action
not_seen_in_validation,79,dio_00qb|dio_0120|dio_02qu|dio_040y|dio_04z7|dio_04zi|dio_05s4|dio_06bd|dio_07rf|dio_0989|dio_0akd|dio_0arw|dio_0avw|dio_0b66|dio_0be3|dio_0bmh|dio_0cgn|dio_0ems|dio_0fa9|dio_0fiy|dio_0fzl|dio_0gmg|dio_0igh|dio_0izw|dio_0jco|dio_0n45|dio_0n9e|dio_0ofo|dio_0ojr|dio_0ps1|dio_0rb2|dio_0u1i|dio_0ufv|dio_0vc8|dio_0x1o|dio_0xpt|dio_10dk|dio_10kx|dio_12jm|dio_13u8|dio_13zu|dio_14jl|dio_14xc|dio_15ms|dio_16yc|dio_173s|dio_199c|dio_1c6b|dio_1d1z|dio_1d3r|dio_1d8w|dio_1f4v|dio_1f9y|dio_1g18|dio_1g2t|dio_1g7l|dio_1guc|dio_1gxl|dio_1icz|dio_1jn5|dio_1jo7|dio_1k0r|dio_1k7y|dio_1k8m|dio_1mpo|dio_1mx2|dio_1mym|dio_1pfo|dio_1q9b|dio_1qig|dio_1qwp|dio_1rv1|dio_1t73|dio_1txv|dio_1uv4|dio_1vjg|dio_1vpi|dio_1w4m|dio_1wie,0,0,True,False
passive_validation_seen,10,dio_0g0p|dio_0gtz|dio_0t0v|dio_0u8u|dio_0y8w|dio_1361|dio_14eb|dio_14i8|dio_1ayy|dio_1t1w,11,36,True,False
passive_stable_direction_candidate,3,dio_0eh8|dio_0qze|dio_0szn,3,12,True,False
passive_emergence_candidate,1,dio_0hd3,1,2,True,False
repeated_passive_emergence_candidate,1,dio_0x52,5,14,True,False
