target_family,reference_family,neighbor_consequence_state,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_executed_rows,target_observed_rows,reference_executed_rows,reference_observed_rows,target_class,reference_class,target_phases,reference_phases
dio_1l2h,dio_1tik,reifende_verwandtschaft,0.069251,0.930749,0.184471,3.63996,1,9,8,4,observation_maturing_pattern,direct_mature_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_1l2h,dio_0a54,reifende_verwandtschaft,0.08219,0.91781,0.184471,3.445308,1,9,6,4,observation_maturing_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_16kb,dio_1tik,reifende_verwandtschaft,0.091101,0.908899,0.614879,3.63996,1,11,8,4,observation_maturing_pattern,direct_mature_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_14eb,dio_09jn,reifende_verwandtschaft,0.108018,0.891982,14.113418,4.693512,10,2,15,5,matured_action_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_14eb,dio_1vm7,reifende_verwandtschaft,0.112541,0.887459,14.113418,3.554517,10,2,3,2,matured_action_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_0szn,dio_0qb3,reifende_verwandtschaft,0.13887,0.86113,4.197417,5.353388,6,5,9,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation"
dio_16kb,dio_0a54,reifende_verwandtschaft,0.188314,0.811686,0.614879,3.445308,1,11,6,4,observation_maturing_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_0szn,dio_1d6j,reifende_verwandtschaft,0.230295,0.769705,4.197417,4.768065,6,5,5,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","order_shift,order_shift_varianz"
dio_16kb,dio_0nmi,reifende_verwandtschaft,0.303641,0.696359,0.614879,6.770993,1,11,4,1,observation_maturing_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","order_shift,sensor_relation_probe2"
dio_14eb,dio_0x52,reifende_verwandtschaft,0.349479,0.650521,14.113418,3.99281,10,2,5,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_1l2h,dio_0nmi,reifende_verwandtschaft,0.431777,0.568223,0.184471,6.770993,1,9,4,1,observation_maturing_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","order_shift,sensor_relation_probe2"
dio_0szn,dio_0nmi,reifende_verwandtschaft,0.43463,0.56537,4.197417,6.770993,6,5,4,1,matured_action_pattern,matured_action_pattern,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","order_shift,sensor_relation_probe2"
dio_0wv3,dio_0x52,vorsichtige_verwandtschaft,0.025902,0.974098,14.018907,3.99281,17,3,5,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_0wv3,dio_14wi,vorsichtige_verwandtschaft,0.038193,0.961807,14.018907,4.496005,17,3,5,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_0wv3,dio_14mj,vorsichtige_verwandtschaft,0.052909,0.947091,14.018907,7.185447,17,3,9,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
