symbol_family,action,outcome_event,event_count,event_reward_sum,event_avg_reward,memory_family_count,memory_action_count,memory_reward_sum,memory_avg_reward,memory_trust,memory_caution,memory_trust_minus_caution,memory_last_reward,memory_timing_improvement_sum,consequence_effect,passive_only
dio_07rf,WAIT,NO_TRADE,2,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_0cgn,WAIT,NO_TRADE,2,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_0gmg,WAIT,NO_TRADE,3,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_0izw,WAIT,NO_TRADE,2,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_15ms,WAIT,NO_TRADE,2,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_173s,WAIT,NO_TRADE,3,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1mn2,WAIT,NO_TRADE,1,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1mx2,WAIT,NO_TRADE,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1pfo,WAIT,NO_TRADE,2,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_0x52,SHORT,SL,2,-2.0,-1.0,10,10,3.310439,0.331044,0.346594,0.2604,0.086194,-1.0,0.042452,sl_caution_visible_but_not_dominant,1
dio_0cgn,LONG,TP,1,1.0,1.0,3,3,2.1,0.7,0.212653,0.0,0.212653,1.0,0.001273,tp_trust_visible,1
dio_0hd3,SHORT,TP,1,1.0,1.0,9,9,11.360923,1.262325,0.930152,0.0,0.930152,1.0,0.009645,tp_trust_visible,1
dio_1g18,SHORT,TP,3,3.0,1.0,11,11,7.581362,0.689215,0.608826,0.0,0.608826,1.0,0.026408,tp_trust_visible,1
