maturation_state,family_count,row_count,reward_sum,event_reward_sum,families,bindings,outcomes
maturation_stable_carried,4,9,9.0,9.0,"dio_02qu,dio_0arw,dio_0t0v,dio_1u7v",multisensory_carried_contact,TP
maturation_mixed_recurrence,1,3,1.0,1.0,dio_1vpi,multisensory_quiet_hold,NO_TRADE
maturation_quiet_observation,2,5,0.0,0.0,"dio_00qb,dio_14xc",multisensory_quiet_hold,NO_TRADE
