family,relation_count,support_count,conflict_count,neutral_count,best_support_family,best_support_action,best_support_similarity,best_support_score,best_conflict_family,best_conflict_actions,best_conflict_similarity,best_conflict_score,support_ratio,conflict_ratio
dio_0byw,82,37,41,4,dio_1lam,LONG,0.991062,1.270966,dio_0n4c,LONG/SHORT,0.9978,1.321475,0.45122,0.5
dio_1lam,82,37,41,4,dio_0byw,LONG,0.991062,1.270966,dio_0n4c,LONG/SHORT,0.982025,1.071978,0.45122,0.5
dio_052z,82,37,41,4,dio_0byw,LONG,0.961049,1.18744,dio_0n4c,LONG/SHORT,0.942515,1.014524,0.45122,0.5
dio_0n4c,82,40,38,4,dio_1r0h,SHORT,0.958533,1.069861,dio_0byw,SHORT/LONG,0.9978,1.321475,0.487805,0.463415
dio_1r0h,82,40,38,4,dio_0n4c,SHORT,0.958533,1.069861,dio_0byw,SHORT/LONG,0.940274,1.27699,0.487805,0.463415
dio_0lt6,82,40,38,4,dio_0fp8,SHORT,0.970988,1.011128,dio_0byw,SHORT/LONG,0.479538,0.63003,0.487805,0.463415
dio_0fp8,82,40,38,4,dio_0lt6,SHORT,0.970988,1.011128,dio_0irs,SHORT/LONG,0.553608,0.557167,0.487805,0.463415
dio_0nv8,82,40,38,4,dio_1gzm,SHORT,0.996076,1.006561,dio_01nf,SHORT/LONG,0.955814,0.958927,0.487805,0.463415
dio_1gzm,82,40,38,4,dio_0nv8,SHORT,0.996076,1.006561,dio_01nf,SHORT/LONG,0.954217,0.955067,0.487805,0.463415
dio_1hzf,82,40,38,4,dio_1bzs,SHORT,0.99455,1.006119,dio_1uez,SHORT/LONG,0.710076,0.727878,0.487805,0.463415
dio_1bzs,82,40,38,4,dio_1hzf,SHORT,0.99455,1.006119,dio_1uez,SHORT/LONG,0.680028,0.68771,0.487805,0.463415
dio_0v7w,82,40,38,4,dio_0w1v,SHORT,0.999848,1.00388,dio_0wsj,SHORT/LONG,0.531947,0.534239,0.487805,0.463415
dio_0w1v,82,40,38,4,dio_0v7w,SHORT,0.999848,1.00388,dio_01nf,SHORT/LONG,0.52628,0.526655,0.487805,0.463415
dio_1vb3,82,37,41,4,dio_0f4h,LONG,0.995722,1.001633,dio_074d,LONG/SHORT,0.879318,0.881416,0.45122,0.5
dio_0f4h,82,37,41,4,dio_1vb3,LONG,0.995722,1.001633,dio_1144,LONG/SHORT,0.874427,0.880533,0.45122,0.5
dio_0ifl,82,40,38,4,dio_0i5m,SHORT,0.999974,1.000553,dio_01nf,SHORT/LONG,0.95375,0.953949,0.487805,0.463415
dio_0i5m,82,40,38,4,dio_0ifl,SHORT,0.999974,1.000553,dio_01nf,SHORT/LONG,0.951674,0.952402,0.487805,0.463415
dio_0k53,82,37,41,4,dio_0f4h,LONG,0.992659,0.999916,dio_074d,LONG/SHORT,0.910107,0.912781,0.45122,0.5
dio_1tg9,82,37,41,4,dio_0k53,LONG,0.993771,0.996669,dio_13wt,LONG/SHORT,0.896197,0.89861,0.45122,0.5
dio_1h37,82,37,41,4,dio_1j78,LONG,0.995809,0.995814,dio_18iw,LONG/SHORT,0.98754,0.98756,0.45122,0.5
dio_1j78,82,37,41,4,dio_1h37,LONG,0.995809,0.995814,dio_18iw,LONG/SHORT,0.985866,0.985895,0.45122,0.5
