target_family,reference_family,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_phases,reference_phases,target_executed_rows,reference_executed_rows,target_observed_rows,reference_observed_rows
dio_0ux2,dio_1tik,0.097089,0.902911,0.0,3.63996,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",0,8,4,4
dio_0ux2,dio_0a54,0.161014,0.838986,0.0,3.445308,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",0,6,4,4
dio_0ux2,dio_0nmi,0.402053,0.597947,0.0,6.770993,sensor_relation_probe10_ferne_aehnlichkeit,"order_shift,sensor_relation_probe2",0,4,4,1
dio_0y4s,dio_0nmi,0.371763,0.628237,1.045363,6.770993,sensor_relation_probe10_ferne_aehnlichkeit,"order_shift,sensor_relation_probe2",1,4,3,1
dio_0y4s,dio_09jn,0.440929,0.559071,1.045363,4.693512,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",1,15,3,5
dio_0y4s,dio_14eb,0.48988,0.51012,1.045363,14.113418,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit",1,10,3,2
dio_1gp1,dio_0nmi,0.172683,0.827317,0.709061,6.770993,sensor_relation_probe10_ferne_aehnlichkeit,"order_shift,sensor_relation_probe2",1,4,3,1
dio_1gp1,dio_09jn,0.436339,0.563661,0.709061,4.693512,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",1,15,3,5
dio_1gp1,dio_0x52,0.452691,0.547309,0.709061,3.99281,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe5,sensor_relation_probe5_repeat",1,5,3,3
dio_1tmf,dio_0wv3,0.195236,0.804764,2.83212,14.018907,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit",2,17,2,3
dio_1tmf,dio_0x52,0.218903,0.781097,2.83212,3.99281,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe5,sensor_relation_probe5_repeat",2,5,2,3
dio_1tmf,dio_14wi,0.224826,0.775174,2.83212,4.496005,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,5,2,3
