family,probe_count,seen_count,executed_count,reward_sum,probe_states,timeline_states,strongest_action_traces,passive_sentence
dio_1vpi,2,1,3,-1.027449,probe17_repeat:not_seen -> probe18_variation:seen_conflict,-,SHORT,dio_1vpi: zeigt mindestens eine konflikthafte Weltbegegnung.
dio_0t0v,2,1,1,-1.236659,probe17_repeat:not_seen -> probe18_variation:seen_conflict,-,SHORT,dio_0t0v: zeigt mindestens eine konflikthafte Weltbegegnung.
dio_0ofo,2,1,4,5.812,probe17_repeat:seen_carried -> probe18_variation:not_seen,-,LONG,"dio_0ofo: bleibt gemischt/offen, reward_sum=5.812000."
dio_04z7,2,1,4,4.34704,probe17_repeat:seen_carried -> probe18_variation:not_seen,-,LONG,"dio_04z7: bleibt gemischt/offen, reward_sum=4.347040."
dio_1bwb,2,1,4,3.647524,probe17_repeat:seen_carried -> probe18_variation:not_seen,-,SHORT,"dio_1bwb: bleibt gemischt/offen, reward_sum=3.647524."
dio_0arw,1,1,1,1.384854,probe18_variation:seen_carried,-,-,"dio_0arw: bleibt gemischt/offen, reward_sum=1.384854."
dio_0ems,1,1,1,1.304587,probe18_variation:seen_carried,-,-,"dio_0ems: bleibt gemischt/offen, reward_sum=1.304587."
dio_1u7v,1,1,1,0.894392,probe18_variation:seen_carried,-,-,"dio_1u7v: bleibt gemischt/offen, reward_sum=0.894392."
dio_0bmh,2,1,1,0.817371,probe17_repeat:not_seen -> probe18_variation:seen_carried,-,LONG,"dio_0bmh: bleibt gemischt/offen, reward_sum=0.817371."
dio_0120,2,1,1,0.333693,probe17_repeat:not_seen -> probe18_variation:seen_carried,-,LONG,"dio_0120: bleibt gemischt/offen, reward_sum=0.333693."
dio_005q,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,LONG,dio_005q: bleibt in den gelesenen Welten still.
dio_00eh,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,SHORT,dio_00eh: bleibt in den gelesenen Welten still.
dio_00h2,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,WAIT,dio_00h2: bleibt in den gelesenen Welten still.
dio_00qb,1,1,0,0.0,probe18_variation:seen_unclear,-,-,"dio_00qb: bleibt gemischt/offen, reward_sum=0.000000."
dio_00rd,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,WAIT,dio_00rd: bleibt in den gelesenen Welten still.
dio_00t3,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,SHORT,dio_00t3: bleibt in den gelesenen Welten still.
dio_017u,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,SHORT,dio_017u: bleibt in den gelesenen Welten still.
dio_018g,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,LONG,dio_018g: bleibt in den gelesenen Welten still.
dio_01nf,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,LONG,dio_01nf: bleibt in den gelesenen Welten still.
dio_01nr,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,SHORT,dio_01nr: bleibt in den gelesenen Welten still.
dio_01ql,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,LONG,dio_01ql: bleibt in den gelesenen Welten still.
dio_01xf,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,LONG,dio_01xf: bleibt in den gelesenen Welten still.
dio_01yf,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,SHORT,dio_01yf: bleibt in den gelesenen Welten still.
dio_026q,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,SHORT,dio_026q: bleibt in den gelesenen Welten still.
dio_02az,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,LONG,dio_02az: bleibt in den gelesenen Welten still.
dio_02qu,1,1,0,0.0,probe18_variation:seen_unclear,-,-,"dio_02qu: bleibt gemischt/offen, reward_sum=0.000000."
dio_0309,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,SHORT,dio_0309: bleibt in den gelesenen Welten still.
dio_03fl,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,LONG,dio_03fl: bleibt in den gelesenen Welten still.
dio_040y,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,LONG,dio_040y: bleibt in den gelesenen Welten still.
dio_04iy,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,SHORT,dio_04iy: bleibt in den gelesenen Welten still.
dio_052z,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,LONG,dio_052z: bleibt in den gelesenen Welten still.
dio_05cx,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,SHORT,dio_05cx: bleibt in den gelesenen Welten still.
dio_05pr,2,0,0,0.0,probe17_repeat:not_seen -> probe18_variation:not_seen,-,SHORT,dio_05pr: bleibt in den gelesenen Welten still.
