source_label,passive_family_action,action,candidate_count,best_similarity,best_sensory_similarity,best_mcm_similarity,best_real_family_action,best_real_reward_sum,best_real_tp_count,best_real_sl_count,carried_candidate_count,burdened_candidate_count,mixed_candidate_count,best_reading,passive_maturity_state,passive_only
probe15,dio_173s:SHORT,SHORT,2,0.811962125,0.8090512,0.816813667,dio_1g18:SHORT,3.0,3,0,2,0,0,passive_near_carried_outcome,passive_observation_has_carried_neighbor,1
probe18,dio_14xc:LONG,LONG,2,0.80021625,0.7742395,0.843510833,dio_02qu:LONG,3.0,3,0,2,0,0,passive_near_carried_outcome,passive_observation_has_carried_neighbor,1
