inner_transition,count,reward_sum,best_reward_sum,avg_reward,families,actions
same_inner_state,6,6.206802,6.206802,1.034467,"dio_0120,dio_0arw",LONG
timeline_start,4,3.577568,3.577568,0.894392,dio_1u7v,SHORT
inner_carried_to_inner_unknown,2,1.551314,1.551314,0.775657,dio_0akd,LONG
inner_carried_to_inner_open_observation,4,0.0,0.37806,0.0,dio_14xc,WAIT
inner_cautious_to_inner_unknown,4,0.0,1.993172,0.0,"dio_00qb,dio_02qu",WAIT
inner_unknown_to_inner_carried,2,0.0,2.073318,0.0,dio_0t0v,WAIT
inner_open_observation_to_inner_cautious,4,-0.684966,0.569932,-0.171241,dio_1vpi,"SHORT,WAIT"
