dio_0n9e:LONG: fresh_local_episode_trace; Quellen=variant_probe17_f3; Episoden=3; Outcome=TP:3; RewardSumme=3.000000.
dio_1k7y:LONG: fresh_local_episode_trace; Quellen=variant_probe17_f3; Episoden=3; Outcome=TP:3; RewardSumme=3.000000.
dio_0120:WAIT: fresh_local_episode_trace; Quellen=variant_probe17_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_10dk:WAIT: fresh_local_episode_trace; Quellen=variant_probe17_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_143d:WAIT: fresh_local_episode_trace; Quellen=variant_probe17_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1c6b:WAIT: fresh_local_episode_trace; Quellen=variant_probe17_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1d1z:WAIT: fresh_local_episode_trace; Quellen=variant_probe17_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1d3r:WAIT: fresh_local_episode_trace; Quellen=variant_probe17_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1f9y:WAIT: fresh_local_episode_trace; Quellen=variant_probe17_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1m4n:WAIT: fresh_local_episode_trace; Quellen=variant_probe17_f3; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
