summary_group,state,count,value,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
sensor_exchange_state,hearing_dominant_delta,8,,True,False,False,False,False,False,False,False
sensor_exchange_state,mixed_sensor_delta,2,,True,False,False,False,False,False,False,False
sensor_exchange_state,visual_dominant_delta,2,,True,False,False,False,False,False,False,False
sensor_exchange_state,neuro_dominant_delta,1,,True,False,False,False,False,False,False,False
avg_exchange_distance,visual,,0.016772369,True,False,False,False,False,False,False,False
avg_exchange_distance,hearing,,0.033487878,True,False,False,False,False,False,False,False
avg_exchange_distance,feeling,,0.011923082,True,False,False,False,False,False,False,False
avg_exchange_distance,neuro,,0.012885845,True,False,False,False,False,False,False,False
avg_anchor_shift_distance,visual,,0.00781848,True,False,False,False,False,False,False,False
avg_anchor_shift_distance,hearing,,0.013942644,True,False,False,False,False,False,False,False
avg_anchor_shift_distance,feeling,,0.004744382,True,False,False,False,False,False,False,False
avg_anchor_shift_distance,neuro,,0.012157799,True,False,False,False,False,False,False,False
