variant_reife_state,count,event_reward_sum,episode_count,avg_transfer_similarity,family_actions
variant_local_wait_context,3,0.0,9,0.0,"dio_0lyu:WAIT,dio_19i4:WAIT,dio_19p6:WAIT"
variant_self_carried_action_trace,3,9.0,9,0.912390857,"dio_0qrm:SHORT,dio_0u8f:LONG,dio_0x52:SHORT"
