kinship_class,family_count,avg_similarity,same_action_count,same_outcome_count,families
single_to_quiet,4,0.926970307,1,1,"dio_0arw->dio_0ui9,dio_0fiy->dio_0ojr,dio_0x1o->dio_1g7l,dio_1g2t->dio_06bd"
single_to_variant,4,0.753290764,4,4,"dio_0igh->dio_0cgn,dio_143d->dio_0cgn,dio_14xc->dio_0cgn,dio_1qwp->dio_0cgn"
trust_to_caution,1,0.911500425,1,0,dio_02qu->dio_1k0r
trust_to_variant,1,0.763775431,0,0,dio_1vpi->dio_0cgn
variant_to_quiet,1,0.946989371,0,1,dio_16yc->dio_0fa9
variant_to_variant,1,0.965920524,1,1,dio_1txv->dio_0cgn
